mapblklot,analysis_neighborhood,Historic,in_historic_district
4720100,Bayview Hunters Point,0,0
7114033A,Oceanview/Merced/Ingleside,0,0
9900001,Financial District/South Beach,1,1
6422028,Excelsior,0,0
6394005,Excelsior,0,0
5387017,Bayview Hunters Point,0,0
6052010B,Portola,0,0
3648054,Mission,0,0
7029017,Outer Mission,0,0
3967049,Mission,0,0
4071019,Potrero Hill,0,0
0674026,Pacific Heights,0,0
4711059,Bayview Hunters Point,0,0
3532006,Mission,0,0
5688036,Bernal Heights,0,0
5520045,Bernal Heights,0,0
3780006,South of Market,0,0
7108033,Oceanview/Merced/Ingleside,0,0
0316002,Tenderloin,1,1
3767014,Financial District/South Beach,0,0
3752394,South of Market,0,0
7096B019,Outer Mission,0,0
6439003,Excelsior,0,0
6021031,Excelsior,0,0
3634049,Mission,0,0
5648031,Bernal Heights,0,0
5960024,Excelsior,0,0
5971009,Portola,0,0
5940027B,Excelsior,0,0
5407024,Bayview Hunters Point,0,0
6992029,Oceanview/Merced/Ingleside,0,0
6786014,Outer Mission,0,0
4162085,Potrero Hill,0,0
4145039,Mission,0,0
5322033,Bayview Hunters Point,0,0
0127029,Nob Hill,0,0
4942031,Bayview Hunters Point,0,0
4268003,Mission,0,0
5642013,Bernal Heights,0,0
4028004,Potrero Hill,0,0
4101019,Potrero Hill,0,0
6348015,Excelsior,0,0
3208A001W,Outer Mission,0,0
3751420,South of Market,0,0
3768090,Financial District/South Beach,0,0
5413016,Bayview Hunters Point,0,0
7005011,Oceanview/Merced/Ingleside,0,0
4107062,Potrero Hill,1,1
4970021,Bayview Hunters Point,0,0
3980057,Potrero Hill,0,0
6490014C,Excelsior,0,0
4147014,Mission,0,0
0148016,Chinatown,0,0
4720101,Bayview Hunters Point,0,0
3612068,Mission,0,0
7381161,Lakeshore,0,0
4106030,Potrero Hill,1,1
7085010,Oceanview/Merced/Ingleside,0,0
5956027,Excelsior,0,0
0063039,North Beach,0,0
0716012,Tenderloin,0,0
4008025,Potrero Hill,0,0
5411023,Bayview Hunters Point,0,0
0144034,North Beach,0,0
6005004,Excelsior,0,0
4146022,Mission,0,0
7094055,Oceanview/Merced/Ingleside,0,0
6094006A,Excelsior,0,0
6781014,Outer Mission,0,0
0146019,Chinatown,0,0
0275B001,Nob Hill,0,0
7086015,Oceanview/Merced/Ingleside,0,0
6115040,Portola,0,0
5612012,Bernal Heights,0,0
3615087,Mission,0,0
4152045,Mission,0,0
0688042,Japantown,0,0
0724045,Western Addition,0,0
3746008,Financial District/South Beach,0,0
0780034,Western Addition,0,0
5745026,Bernal Heights,0,0
4107002B,Potrero Hill,1,1
5879014,Portola,0,0
4030013,Potrero Hill,0,0
3729161,South of Market,1,1
6119027,Portola,0,0
5410029,Bayview Hunters Point,0,0
8701004,Mission Bay,0,0
3511180,Mission,1,1
3615083,Mission,0,0
7079005,Oceanview/Merced/Ingleside,0,0
5353B012B,Bayview Hunters Point,0,0
0260017,Financial District/South Beach,1,1
0209011,Chinatown,1,1
4791002A,Bayview Hunters Point,0,0
6309110,Visitacion Valley,0,0
3771004,Financial District/South Beach,0,0
4212018,Mission,0,0
7126A012,Oceanview/Merced/Ingleside,0,0
0793104,Hayes Valley,0,0
0336003,Tenderloin,1,1
6450015,Excelsior,0,0
4106008,Potrero Hill,1,1
5523053,Bernal Heights,1,1
0300025,Nob Hill,1,1
5309029,Bayview Hunters Point,0,0
5413012,Bayview Hunters Point,0,0
5613010,Bernal Heights,0,0
6778026,Outer Mission,0,0
3716021,Financial District/South Beach,0,0
6404028,Excelsior,0,0
6467024,Excelsior,0,0
6990014,Oceanview/Merced/Ingleside,0,0
6344035,Excelsior,0,0
4214002,Mission,0,0
6499013,Excelsior,0,0
4070007,Potrero Hill,0,0
5435032,Bayview Hunters Point,0,0
5933002C,Portola,0,0
6362008,Visitacion Valley,0,0
6634040,Noe Valley,0,0
3755113,South of Market,1,1
0101031,Chinatown,0,0
3753169,South of Market,0,0
4273016,Mission,0,0
3728026,South of Market,1,1
5920003,Portola,0,0
3752192,South of Market,0,0
6235001B,Visitacion Valley,0,0
5936004,Excelsior,0,0
0754029,Western Addition,1,1
6449012,Excelsior,0,0
3594026,Mission,0,0
6462012,Excelsior,0,0
0807063,Hayes Valley,1,1
0236006,Financial District/South Beach,1,1
7015018,Oceanview/Merced/Ingleside,0,0
5713046,Bernal Heights,0,0
6247005,Visitacion Valley,0,0
3778004,South of Market,0,0
0685052,Japantown,0,0
0040012,North Beach,0,0
0288032,Financial District/South Beach,0,0
3833016,Mission Bay,0,0
3789858,Financial District/South Beach,1,1
5326027,Bayview Hunters Point,0,0
3702045,South of Market,0,0
3773577,Financial District/South Beach,0,0
4274002,Mission,1,1
7114028,Oceanview/Merced/Ingleside,0,0
0768021,Western Addition,0,0
5290002,Bayview Hunters Point,0,0
5979026,Portola,0,0
5933037,Portola,0,0
6421006,Excelsior,0,0
5635027,Bernal Heights,0,0
0336002,Tenderloin,1,1
5404048,Bayview Hunters Point,0,0
4089043,Mission,0,0
7092026,Oceanview/Merced/Ingleside,0,0
4078031,Mission,0,0
3757085,South of Market,0,0
0281016,Nob Hill,1,1
6120012B,Portola,0,0
6309031D,Visitacion Valley,0,0
6519034,Mission,0,0
7016043,Oceanview/Merced/Ingleside,0,0
4084049,Mission,0,0
6480013,Excelsior,0,0
5682002,Bernal Heights,0,0
5978033,Portola,0,0
6092020,Excelsior,0,0
6465032,Excelsior,0,0
4283B078,Potrero Hill,0,0
0832031,Hayes Valley,0,0
4216002,Potrero Hill,0,0
3755117,South of Market,0,0
6197001,Visitacion Valley,0,0
6529012B,Mission,0,0
3722083,Financial District/South Beach,1,1
6112006,Portola,0,0
3755249,South of Market,1,1
5339006,Bayview Hunters Point,0,0
0265003,Financial District/South Beach,0,0
5642031,Bernal Heights,0,0
4102072,Potrero Hill,0,0
5657010,Bernal Heights,0,0
5938003,Excelsior,0,0
5505023,Bernal Heights,0,0
6172028,Portola,0,0
6803018,Outer Mission,0,0
6410024,Excelsior,0,0
0256T001M,Nob Hill,0,0
6968062,Outer Mission,0,0
3773291,Financial District/South Beach,0,0
0663012,Pacific Heights,1,1
4993018,Bayview Hunters Point,0,0
4336007,Mission,0,0
4041011,Potrero Hill,0,0
8954006,Treasure Island,0,0
6692049,Bernal Heights,0,0
5529043,Bernal Heights,0,0
3731099,South of Market,0,0
0041008,North Beach,0,0
3145049,Outer Mission,0,0
4028006,Potrero Hill,0,0
3977005C,Potrero Hill,0,0
3787052,South of Market,0,0
7381077,Lakeshore,0,0
7090011,Oceanview/Merced/Ingleside,0,0
5686021,Bernal Heights,0,0
0677072,Pacific Heights,0,0
6784034,Outer Mission,0,0
6997028,Oceanview/Merced/Ingleside,0,0
3574092,Mission,0,0
5654015,Bernal Heights,0,0
3617118,Mission,1,1
3505054,Mission,0,0
6794020,Outer Mission,0,0
0342042,Tenderloin,0,0
6339001E,Excelsior,0,0
3589162,Mission,1,1
0059005,Financial District/South Beach,0,0
3553101,Mission,0,0
0665018,Western Addition,0,0
7032A019,Outer Mission,0,0
5382043,Bayview Hunters Point,0,0
6165014,Visitacion Valley,0,0
6568021,Mission,0,0
3953006,Mission Bay,0,0
7006045,Oceanview/Merced/Ingleside,0,0
4991675,Bayview Hunters Point,0,0
3786263,South of Market,0,0
5378035,Bayview Hunters Point,0,0
3777107,South of Market,0,0
3794077,Mission Bay,0,0
6162017,Portola,0,0
6472030,Excelsior,0,0
5520043,Bernal Heights,0,0
4101065,Potrero Hill,0,0
7147015,Oceanview/Merced/Ingleside,0,0
0161041,Chinatown,0,0
6396016,Excelsior,0,0
3570097,Mission,0,0
3211008A,Outer Mission,0,0
0166009,Financial District/South Beach,0,0
7130030,Oceanview/Merced/Ingleside,0,0
3786161,South of Market,0,0
4224006,Potrero Hill,0,0
7079012,Oceanview/Merced/Ingleside,0,0
6248027,Visitacion Valley,0,0
3774150,Financial District/South Beach,1,1
5428E020,Bayview Hunters Point,0,0
6250022,Visitacion Valley,0,0
0270006,Financial District/South Beach,1,1
4069015,Potrero Hill,0,0
3640056,Mission,0,0
6022018,Excelsior,0,0
3788131,Financial District/South Beach,1,1
3779120,South of Market,0,0
4591B050,Bayview Hunters Point,0,0
3773010,Financial District/South Beach,0,0
4084008,Mission,0,0
7159008,Outer Mission,0,0
7064A013,Outer Mission,0,0
4334021,Mission,0,0
6297028,Visitacion Valley,0,0
0151001,Nob Hill,0,0
3995105,Potrero Hill,0,0
0767003,Western Addition,1,1
3574070,Mission,0,0
0749019,Western Addition,0,0
7029A007,Outer Mission,0,0
4591A013,Bayview Hunters Point,0,0
6362009,Visitacion Valley,0,0
5544022,Bernal Heights,0,0
7020029,Oceanview/Merced/Ingleside,0,0
3554043,Mission,0,0
7044B009,Outer Mission,0,0
3511128,Mission,1,1
3703248,South of Market,1,1
6967012,Outer Mission,0,0
6998038,Oceanview/Merced/Ingleside,0,0
5936013,Excelsior,0,0
5610025,Bernal Heights,0,0
4161075,Potrero Hill,0,0
7019033,Oceanview/Merced/Ingleside,0,0
3784025,South of Market,0,0
5895001,Excelsior,0,0
6021005,Excelsior,0,0
6596001B,Bernal Heights,0,0
0665009,Western Addition,0,0
0039058,North Beach,0,0
6319001C,Visitacion Valley,0,0
6282011,Excelsior,0,0
7167008,Outer Mission,0,0
3751523,South of Market,0,0
7029003A,Outer Mission,0,0
7318001,Lakeshore,1,1
5326021,Bayview Hunters Point,0,0
5867031,Excelsior,0,0
3573046,Mission,0,0
3768136,Financial District/South Beach,0,0
5841012A,Bernal Heights,0,0
6596013B,Bernal Heights,0,0
3632013,Mission,0,0
5701025,Bernal Heights,0,0
0287008,Financial District/South Beach,1,1
6524035,Mission,0,0
3567030,Mission,0,0
0254080,Nob Hill,0,0
6993019,Oceanview/Merced/Ingleside,0,0
4645019,Bayview Hunters Point,0,0
7009034,Oceanview/Merced/Ingleside,0,0
5898005,Excelsior,0,0
6017001,Excelsior,0,0
3949005,Mission Bay,0,0
5918002,Portola,0,0
3511111,Mission,1,1
5068002C,Visitacion Valley,0,0
4967014,Bayview Hunters Point,0,0
6482041,Excelsior,0,0
4335001F,Mission,0,0
3775058,Financial District/South Beach,1,1
7017037,Oceanview/Merced/Ingleside,0,0
3762139,South of Market,0,0
3633074,Mission,1,1
5988024,Portola,0,0
6423136,Excelsior,0,0
4936020,Bayview Hunters Point,0,0
0340017,Tenderloin,1,1
5404060,Bayview Hunters Point,0,0
3956011,Mission Bay,0,0
3609085,Mission,1,1
5720035,Bernal Heights,0,0
4045008,Potrero Hill,1,1
4263009,Mission,0,0
