mapblklot,analysis_neighborhood,Historic,in_historic_district
6246017,Visitacion Valley,0,0
5697016,Bernal Heights,0,0
5054A044,Bayview Hunters Point,1,1
5296024A,Bayview Hunters Point,0,0
6331006,Visitacion Valley,0,0
4591B099,Bayview Hunters Point,0,0
4096107,Potrero Hill,0,0
5362001B,Bayview Hunters Point,0,0
3775059,Financial District/South Beach,1,1
7135042,Oceanview/Merced/Ingleside,0,0
3589008,Mission,0,0
6340034,Excelsior,0,0
3638038,Mission,1,1
0088021,North Beach,0,0
4159073,Potrero Hill,0,0
6969003D,Outer Mission,0,0
4264065,Mission,0,0
5523002,Bernal Heights,1,1
6411012,Excelsior,0,0
6478025,Excelsior,0,0
6092019,Excelsior,0,0
5079005,Bayview Hunters Point,1,1
0749023,Western Addition,0,0
7145046,Outer Mission,0,0
3726114,South of Market,0,0
6322008J,Visitacion Valley,0,0
7071036,Oceanview/Merced/Ingleside,0,0
5296018,Bayview Hunters Point,0,0
4064018,Potrero Hill,0,0
6156015A,Portola,0,0
7058003,Oceanview/Merced/Ingleside,0,0
5550005,Bernal Heights,0,0
6016032,Excelsior,0,0
5295015B,Bayview Hunters Point,0,0
4991230,Bayview Hunters Point,0,0
5325015A,Bayview Hunters Point,0,0
5386023A,Bayview Hunters Point,0,0
0740013,Tenderloin,1,1
3149050,Outer Mission,0,0
5698007,Bernal Heights,0,0
7060022,Oceanview/Merced/Ingleside,0,0
4207031,Mission,0,0
7164022,Outer Mission,0,0
4093125,Potrero Hill,0,0
5379006,Bayview Hunters Point,0,0
6246011,Visitacion Valley,0,0
5395015,Bayview Hunters Point,0,0
0329003,Financial District/South Beach,1,1
3610045,Mission,0,0
0662047,Pacific Heights,1,1
5660018,Bernal Heights,0,0
4206039,Mission,0,0
6406007,Excelsior,0,0
5322070,Bayview Hunters Point,0,0
6257001A,Visitacion Valley,0,0
7053041,Oceanview/Merced/Ingleside,0,0
0700020,Japantown,0,0
6007004,Excelsior,0,0
6491028,Excelsior,0,0
4788013,Bayview Hunters Point,0,0
6465009,Excelsior,0,0
5900008,Portola,0,0
6302028,Visitacion Valley,0,0
4791011,Bayview Hunters Point,0,0
5291031,Bayview Hunters Point,0,0
0151112,Nob Hill,0,0
3552020,Mission,0,0
7044B005,Outer Mission,0,0
5461005,Bayview Hunters Point,0,0
7072002,Oceanview/Merced/Ingleside,0,0
3594024,Mission,0,0
3788009,Financial District/South Beach,1,1
5995002A,Portola,0,0
5653020,Bernal Heights,0,0
4283B007,Potrero Hill,0,0
0258018,Financial District/South Beach,1,1
3573037,Mission,0,0
3575104,Mission,0,0
6992045,Oceanview/Merced/Ingleside,0,0
5726004,Bernal Heights,0,0
4647A008,Bayview Hunters Point,0,0
5382034,Bayview Hunters Point,0,0
7054046,Oceanview/Merced/Ingleside,0,0
7114010,Oceanview/Merced/Ingleside,0,0
5476019,Bayview Hunters Point,0,0
7145034,Outer Mission,0,0
6967005,Outer Mission,0,0
5435024,Bayview Hunters Point,0,0
6475014,Excelsior,0,0
4084044,Mission,0,0
4275021,Mission,0,0
5426023,Bayview Hunters Point,0,0
6992012,Oceanview/Merced/Ingleside,0,0
0649001,Pacific Heights,0,0
5947032,Excelsior,0,0
6022031,Excelsior,0,0
6021039,Excelsior,0,0
5698025,Bernal Heights,0,0
3150002,Outer Mission,0,0
7081A038,Oceanview/Merced/Ingleside,0,0
6306015,Visitacion Valley,0,0
4272031,Mission,0,0
6485003,Excelsior,0,0
6015019,Excelsior,0,0
6468006,Excelsior,0,0
4075003,Potrero Hill,0,0
6482013,Excelsior,0,0
6953032,Outer Mission,0,0
0165017,Financial District/South Beach,0,0
3212001,Outer Mission,0,0
6348003,Excelsior,0,0
0149001,Nob Hill,0,0
5737015,Bernal Heights,0,0
5928019,Portola,0,0
3590084,Mission,0,0
6635025,Bernal Heights,0,0
5648016,Bernal Heights,0,0
4171015,Potrero Hill,1,1
4088025,Mission,0,0
5383013,Bayview Hunters Point,0,0
6303003A,Visitacion Valley,0,0
5255010,Bayview Hunters Point,0,0
5471008,Bayview Hunters Point,0,0
6338019,Excelsior,0,0
5959032,Excelsior,0,0
6321010,Visitacion Valley,0,0
5717042,Bernal Heights,0,0
6297034,Visitacion Valley,0,0
3732101,South of Market,0,0
7030062,Outer Mission,0,0
5960027,Excelsior,0,0
4095049,Potrero Hill,0,0
7031005B,Outer Mission,0,0
7129008,Oceanview/Merced/Ingleside,0,0
0227025,Chinatown,1,1
6339015,Excelsior,0,0
5411006,Bayview Hunters Point,0,0
6009044,Excelsior,0,0
6795A014,Outer Mission,0,0
6321001A,Visitacion Valley,0,0
5715010,Bernal Heights,0,0
4711091,Bayview Hunters Point,0,0
5343013,Bayview Hunters Point,0,0
5323017A,Bayview Hunters Point,0,0
5706019,Bernal Heights,0,0
0039012,North Beach,0,0
5958007,Excelsior,0,0
6283015,Excelsior,0,0
6091016,Excelsior,0,0
6594017,Noe Valley,0,0
3779068,South of Market,0,0
7045B020,Outer Mission,0,0
7060021,Oceanview/Merced/Ingleside,0,0
6166009,Visitacion Valley,0,0
6577029B,Noe Valley,0,0
6007027D,Excelsior,0,0
5674012,Bernal Heights,0,0
5381043,Bayview Hunters Point,0,0
6157014,Portola,0,0
5522042,Bernal Heights,0,0
5870017,Excelsior,0,0
0254007,Nob Hill,0,0
7063037,Oceanview/Merced/Ingleside,0,0
5669033,Bernal Heights,0,0
5740003,Bernal Heights,0,0
0225013,Chinatown,1,1
4789017,Bayview Hunters Point,0,0
5362002B,Bayview Hunters Point,0,0
5353008D,Bayview Hunters Point,0,0
0678023,Pacific Heights,0,0
5526004,Bernal Heights,1,1
5675013,Bernal Heights,0,0
5091022,Bayview Hunters Point,1,1
6004024,Excelsior,0,0
6161042,Portola,0,0
7094014,Oceanview/Merced/Ingleside,0,0
6249017,Visitacion Valley,0,0
0090039,Chinatown,0,0
7147025,Oceanview/Merced/Ingleside,0,0
4093153,Potrero Hill,0,0
3729028,South of Market,1,1
5054A070,Bayview Hunters Point,1,1
6235042,Visitacion Valley,0,0
3153017,Outer Mission,0,0
5912024,Excelsior,0,0
4106010,Potrero Hill,1,1
5963038,Excelsior,0,0
3511094,Mission,0,0
7148011A,Oceanview/Merced/Ingleside,0,0
7156070,Outer Mission,0,0
6093011A,Excelsior,0,0
4993044,Bayview Hunters Point,0,0
3722019,Financial District/South Beach,1,1
0115047,North Beach,0,0
5353A005C,Bayview Hunters Point,0,0
4104066,Potrero Hill,0,0
5529054,Bernal Heights,0,0
4715008,Bayview Hunters Point,0,0
6078040,Excelsior,0,0
4028015,Potrero Hill,0,0
6568029,Mission,0,0
4270019A,Mission,0,0
5672030,Bernal Heights,0,0
6015001,Excelsior,0,0
4108003E,Potrero Hill,1,1
3726036,South of Market,0,0
4099039,Potrero Hill,0,0
5701010,Bernal Heights,0,0
7016021,Oceanview/Merced/Ingleside,0,0
6021034,Excelsior,0,0
5347037,Bayview Hunters Point,0,0
5345001,Bayview Hunters Point,0,0
4220039,Potrero Hill,0,0
4787012,Bayview Hunters Point,0,0
6339032,Excelsior,0,0
3957002,Mission Bay,0,0
6463049,Excelsior,0,0
6323013,Visitacion Valley,0,0
5841002,Bernal Heights,0,0
5877039,Portola,0,0
5705022,Bernal Heights,0,0
5876020,Portola,0,0
7103047,Oceanview/Merced/Ingleside,0,0
5668030,Bernal Heights,0,0
5378034,Bayview Hunters Point,0,0
6283006A,Excelsior,0,0
3704021,South of Market,1,1
5864007,Portola,0,0
6351010A,Excelsior,0,0
6354007,Excelsior,0,0
6273002E,Excelsior,0,0
6022020,Excelsior,0,0
5465019,Bayview Hunters Point,0,0
0287026,Financial District/South Beach,1,1
3762054,South of Market,0,0
3638080,Mission,1,1
3646036,Mission,1,1
3613033,Mission,0,0
4162104,Potrero Hill,0,0
3753028,South of Market,0,0
3590051,Mission,0,0
5520042,Bernal Heights,0,0
6435008,Excelsior,0,0
6322025,Visitacion Valley,0,0
5331053,Bayview Hunters Point,0,0
6801030,Outer Mission,0,0
5919005B,Portola,0,0
7149019,Oceanview/Merced/Ingleside,0,0
6522051,Mission,0,0
3589028,Mission,0,0
6513034,Mission,1,1
5382022,Bayview Hunters Point,0,0
6276031,Excelsior,0,0
1567044,Outer Richmond,0,0
0159006,Chinatown,0,0
4143037A,Mission,1,1
5913007,Excelsior,0,0
3985009,Potrero Hill,0,0
4757008,Bayview Hunters Point,0,0
0036001,North Beach,0,0
5859002,Portola,0,0
5966009A,Excelsior,0,0
5947046,Excelsior,0,0
5382009,Bayview Hunters Point,0,0
7049014,Oceanview/Merced/Ingleside,0,0
6473011,Excelsior,0,0
3613043,Mission,0,0
6233057,Visitacion Valley,0,0
6312007,Visitacion Valley,0,0
4002024,Potrero Hill,0,0
4074041,Potrero Hill,0,0
6510048,Noe Valley,0,0
7117015,Oceanview/Merced/Ingleside,0,0
6318029,Visitacion Valley,0,0
6090005C,Excelsior,0,0
4283B024,Potrero Hill,0,0
4789020A,Bayview Hunters Point,0,0
3644015B,Mission,0,0
6250009D,Visitacion Valley,0,0
4337001G,Mission,0,0
5083009,Bayview Hunters Point,1,1
7046A014,Outer Mission,0,0
6569009B,Mission,0,0
4970004,Bayview Hunters Point,0,0
4068008,Potrero Hill,0,0
6349010,Excelsior,0,0
4991725,Bayview Hunters Point,0,0
5403004,Bayview Hunters Point,0,0
4160033,Potrero Hill,0,0
5668012,Bernal Heights,0,0
5397029,Bayview Hunters Point,0,0
0180039,Chinatown,0,0
3638043,Mission,1,1
6577019,Noe Valley,0,0
6574039,Bernal Heights,0,0
5575011,Bernal Heights,0,0
5811004,Bernal Heights,0,0
7017023,Oceanview/Merced/Ingleside,0,0
3589170,Mission,1,1
5612063,Bernal Heights,0,0
0732009,Western Addition,0,0
6421036,Excelsior,0,0
6309D026,Visitacion Valley,0,0
7133029,Oceanview/Merced/Ingleside,0,0
6096024,Excelsior,0,0
3780084,South of Market,0,0
5515005,Bernal Heights,0,0
5279003,Bayview Hunters Point,0,0
7054045,Oceanview/Merced/Ingleside,0,0
0270004,Financial District/South Beach,1,1
0319003,Tenderloin,1,1
5337028,Bayview Hunters Point,0,0
5837012,Bernal Heights,0,0
3576075,Mission,1,1
3555077,Mission,0,0
6116011,Portola,0,0
5900007,Portola,0,0
6474015D,Excelsior,0,0
5620037,Bernal Heights,0,0
3725076,South of Market,0,0
5946006,Excelsior,0,0
6471003A,Excelsior,0,0
5889018,Excelsior,0,0
0333021,Tenderloin,1,1
6163037,McLaren Park,0,0
5743014,Bernal Heights,0,0
7130017,Oceanview/Merced/Ingleside,0,0
6072004,Excelsior,0,0
5396001D,Bayview Hunters Point,0,0
5539019,Bernal Heights,0,0
6201049,Visitacion Valley,0,0
5273021A,Bayview Hunters Point,0,0
6955043,Outer Mission,0,0
5360019,Bayview Hunters Point,0,0
6011030,Excelsior,0,0
4006018,Potrero Hill,0,0
7159019,Outer Mission,0,0
3753132,South of Market,0,0
6463056E,Excelsior,0,0
5328007,Bayview Hunters Point,0,0
7043010H,Outer Mission,0,0
6076040,Excelsior,0,0
5534022,Bernal Heights,0,0
4991416,Bayview Hunters Point,0,0
0156021,Nob Hill,0,0
3587105,Mission,0,0
3554032A,Mission,0,0
4967013,Bayview Hunters Point,0,0
6053002,Portola,0,0
0282013,Nob Hill,1,1
5329041,Bayview Hunters Point,0,0
5425001,Bayview Hunters Point,0,0
5409026,Bayview Hunters Point,0,0
5712048,Bernal Heights,0,0
4789005,Bayview Hunters Point,0,0
7084040,Oceanview/Merced/Ingleside,0,0
5972031,Portola,0,0
6443029,Excelsior,0,0
5321035,Bayview Hunters Point,0,0
6192007,Visitacion Valley,0,0
6520002,Mission,0,0
5638008,Bernal Heights,0,0
6484035,Excelsior,0,0
0274025,Nob Hill,0,0
5972015,Portola,0,0
3613035A,Mission,0,0
6004015,Excelsior,0,0
6131043,Portola,0,0
3645017,Mission,1,1
5071012,Bayview Hunters Point,1,1
4088029,Mission,0,0
5323002,Bayview Hunters Point,0,0
3727032,South of Market,1,1
7079001,Oceanview/Merced/Ingleside,0,0
3590094,Mission,0,0
4023003,Mission,0,0
5652007,Bernal Heights,0,0
6797025,Outer Mission,0,0
6172016A,Portola,0,0
3637082,Mission,1,1
5411021,Bayview Hunters Point,0,0
0156032,Nob Hill,0,0
3554003,Mission,0,0
0156039,Nob Hill,0,0
0260004,Financial District/South Beach,1,1
5916001C,Portola,0,0
7071034,Oceanview/Merced/Ingleside,0,0
7129015,Oceanview/Merced/Ingleside,0,0
7169018,Outer Mission,0,0
5528015,Bernal Heights,0,0
1939130,Treasure Island,1,1
5335ACOMB,Bayview Hunters Point,0,0
4096093,Potrero Hill,0,0
4713030,Bayview Hunters Point,0,0
5690010,Bernal Heights,0,0
7040A006,Outer Mission,0,0
5657012,Bernal Heights,0,0
7097026,Outer Mission,0,0
3707051,Financial District/South Beach,1,1
5676001,Bernal Heights,0,0
6161035,Portola,0,0
7030067,Outer Mission,0,0
0257003,Financial District/South Beach,1,1
5867030,Excelsior,0,0
6208016,Visitacion Valley,0,0
5404051,Bayview Hunters Point,0,0
5635012,Bernal Heights,0,0
6412015,Excelsior,0,0
5712021A,Bernal Heights,0,0
6297010,Visitacion Valley,0,0
5673014,Bernal Heights,0,0
5384A017,Bayview Hunters Point,0,0
6991042,Oceanview/Merced/Ingleside,0,0
6447042,Excelsior,0,0
0118043,Chinatown,0,0
3633016,Mission,1,1
5896006,Excelsior,0,0
4011005,Potrero Hill,0,0
5461027,Bayview Hunters Point,0,0
5474018,Bayview Hunters Point,0,0
6534015,Mission,0,0
7019001,Oceanview/Merced/Ingleside,0,0
6198046,Visitacion Valley,0,0
7130035,Oceanview/Merced/Ingleside,0,0
3618080,Mission,0,0
6500016,Excelsior,0,0
6191018,Visitacion Valley,0,0
6049024,Portola,0,0
3146047,Outer Mission,0,0
6197008,Visitacion Valley,0,0
0702038,Japantown,0,0
5618037,Bernal Heights,0,0
5703007,Bernal Heights,0,0
4158039,Potrero Hill,0,0
5612052,Bernal Heights,0,0
5938049,Excelsior,0,0
5956023,Excelsior,0,0
5297048,Bayview Hunters Point,0,0
7050030,Oceanview/Merced/Ingleside,0,0
6518043,Mission,0,0
6278038,Excelsior,0,0
6149016,Portola,0,0
6011037,Excelsior,0,0
6094012B,Excelsior,0,0
5858012,Portola,0,0
5413034,Bayview Hunters Point,0,0
6019006,Excelsior,0,0
3727056,South of Market,1,1
5736024,Bernal Heights,0,0
5274016,Bayview Hunters Point,0,0
5875021,Portola,0,0
5976010A,Portola,0,0
3570014,Mission,0,0
5538010,Bernal Heights,0,0
7334001,Lakeshore,1,1
7089043,Oceanview/Merced/Ingleside,0,0
5724026,Bernal Heights,0,0
6660044,Bernal Heights,0,0
3762012,South of Market,0,0
4004019,Potrero Hill,0,0
5360006A,Bayview Hunters Point,0,0
6422022A,Excelsior,0,0
4146028,Mission,0,0
6251020,Visitacion Valley,0,0
6276016,Excelsior,0,0
6303010,Visitacion Valley,0,0
7174063,Outer Mission,0,0
3589069,Mission,0,0
7070032,Oceanview/Merced/Ingleside,0,0
6596016,Bernal Heights,0,0
6420013,Excelsior,0,0
5814032,Bernal Heights,0,0
3511039,Mission,1,1
6569003,Mission,0,0
5996005E,Portola,0,0
5877007,Portola,0,0
6248033,Visitacion Valley,0,0
5054A053,Bayview Hunters Point,1,1
4710110,Bayview Hunters Point,0,0
5464026,Bayview Hunters Point,0,0
4285B003,Potrero Hill,0,0
6567034,Mission,0,0
0775055,Western Addition,1,1
5306029,Bayview Hunters Point,0,0
7043003F,Outer Mission,0,0
6468003A,Excelsior,0,0
6432016,Excelsior,0,0
4280029,Potrero Hill,0,0
6404022,Excelsior,0,0
7030056,Outer Mission,0,0
5744011,Bernal Heights,0,0
6533033,Mission,0,0
6093034,Excelsior,0,0
0212038,Nob Hill,0,0
6174016,Visitacion Valley,0,0
5743028,Bernal Heights,0,0
6018017,Excelsior,0,0
0737016,Western Addition,0,0
5290015,Bayview Hunters Point,0,0
3618064,Mission,1,1
4334017,Mission,0,0
3638026,Mission,0,0
4790002,Bayview Hunters Point,0,0
7004013,Oceanview/Merced/Ingleside,0,0
5253008,Bayview Hunters Point,0,0
4969003,Bayview Hunters Point,0,0
4151010,Mission,0,0
7116004,Oceanview/Merced/Ingleside,0,0
7071047,Oceanview/Merced/Ingleside,0,0
0334007,Tenderloin,1,1
4335003D,Mission,0,0
7031015A,Outer Mission,0,0
0792007A,Hayes Valley,0,0
5331022,Bayview Hunters Point,0,0
6245010,Visitacion Valley,0,0
5091024,Bayview Hunters Point,1,1
6159009,Portola,0,0
6320001A,Visitacion Valley,0,0
7085044,Oceanview/Merced/Ingleside,0,0
6722008,Outer Mission,0,0
0224016,Chinatown,0,0
0675021,Pacific Heights,1,1
3532055,Mission,1,1
6970003B,Outer Mission,0,0
6160007,Portola,0,0
6086011F,Excelsior,0,0
5080013,Bayview Hunters Point,1,1
6130034,Portola,0,0
6325001C,Visitacion Valley,0,0
3211001,Outer Mission,0,0
5615054,Bernal Heights,0,0
4991218,Bayview Hunters Point,0,0
5504009,Bernal Heights,0,0
5891014,Excelsior,0,0
4152031,Mission,0,0
6014045,Excelsior,0,0
6177053,Visitacion Valley,0,0
6533002,Mission,0,0
0146007,Chinatown,0,0
1409034,Outer Richmond,0,0
7172011,Outer Mission,0,0
6514013,Mission,0,0
7065060,Outer Mission,0,0
3719520,Financial District/South Beach,0,0
3755144,South of Market,0,0
6177074,Visitacion Valley,0,0
5290038,Bayview Hunters Point,0,0
0150057,Nob Hill,1,1
6478006,Excelsior,0,0
6016010,Excelsior,0,0
5971026,Portola,0,0
6490010A,Excelsior,0,0
5426033,Bayview Hunters Point,0,0
7044B018,Outer Mission,0,0
0143041,North Beach,1,1
5895029,Excelsior,0,0
0054009,North Beach,0,0
4808011B,Bayview Hunters Point,0,0
7067005,Oceanview/Merced/Ingleside,0,0
7092075,Oceanview/Merced/Ingleside,0,0
4031019B,Potrero Hill,0,0
3590099,Mission,0,0
6342033,Excelsior,0,0
6016003,Excelsior,0,0
4939029,Bayview Hunters Point,0,0
6282003E,Excelsior,0,0
0322010,Tenderloin,1,1
5881016,Portola,0,0
6511016,Mission,0,0
5673019,Bernal Heights,0,0
5870011,Excelsior,0,0
7052017,Oceanview/Merced/Ingleside,0,0
3609129,Mission,0,0
6534014C,Mission,0,0
4710097,Bayview Hunters Point,0,0
6084030,Excelsior,0,0
4001013,Potrero Hill,0,0
5327050,Bayview Hunters Point,0,0
6786038,Outer Mission,0,0
4711073,Bayview Hunters Point,0,0
0686056,Japantown,0,0
4790029,Bayview Hunters Point,0,0
6089012,Excelsior,0,0
5955011D,Excelsior,0,0
0338016,Tenderloin,1,1
3212012C,Outer Mission,0,0
5650006,Bernal Heights,0,0
4102004,Potrero Hill,0,0
5935042,Excelsior,0,0
4274018,Mission,0,0
6720040,Bernal Heights,0,0
4158019,Potrero Hill,0,0
0651057,Pacific Heights,0,0
5307003,Bayview Hunters Point,0,0
5324009,Bayview Hunters Point,0,0
7081A011,Oceanview/Merced/Ingleside,0,0
5724022,Bernal Heights,0,0
7137011,Oceanview/Merced/Ingleside,0,0
3777068,South of Market,0,0
5996004,Portola,0,0
4996009,Bayview Hunters Point,0,0
7043002A,Outer Mission,0,0
6008011,Excelsior,0,0
5428F022,Bayview Hunters Point,0,0
5991013,Portola,0,0
6301045,Visitacion Valley,0,0
6284003,Excelsior,0,0
5295030,Bayview Hunters Point,0,0
6470003,Excelsior,0,0
0320018A,Tenderloin,1,1
7031015C,Outer Mission,0,0
6194015A,Visitacion Valley,0,0
7053036,Oceanview/Merced/Ingleside,0,0
3631011,Mission,1,1
6532035,Mission,0,0
7295007,Lakeshore,0,0
7015040,Oceanview/Merced/Ingleside,0,0
4214001,Mission,0,0
4757024,Bayview Hunters Point,0,0
6477003,Excelsior,0,0
0183016,Nob Hill,0,0
7054020,Oceanview/Merced/Ingleside,0,0
4009003,Potrero Hill,0,0
5258022,Bayview Hunters Point,0,0
5279022,Bayview Hunters Point,0,0
6408021,Excelsior,0,0
6525044,Mission,0,0
0225004,Chinatown,1,1
5334062,Bayview Hunters Point,0,0
6086026,Excelsior,0,0
4003022,Potrero Hill,0,0
3641037,Mission,0,0
5428D010,Bayview Hunters Point,0,0
0101048,Chinatown,0,0
0282003,Nob Hill,1,1
3617085,Mission,0,0
3611063,Mission,0,0
3775084,Financial District/South Beach,0,0
5514010,Bernal Heights,0,0
5842033,Bernal Heights,0,0
6512002,Mission,0,0
4591B031,Bayview Hunters Point,0,0
5992A032,Portola,0,0
3612076,Mission,0,0
5739025,Bernal Heights,0,0
6085041,Excelsior,0,0
5720005A,Bernal Heights,0,0
5081020,Bayview Hunters Point,1,1
0174002,Chinatown,0,0
5524003,Bernal Heights,1,1
0306006,Tenderloin,1,1
0223066,Nob Hill,0,0
7015026A,Oceanview/Merced/Ingleside,0,0
0838008,Hayes Valley,1,1
5882022,Portola,0,0
3609022,Mission,0,0
5612058,Bernal Heights,0,0
6258004,Visitacion Valley,0,0
3727073,South of Market,1,1
3728046,South of Market,1,1
3206017,Outer Mission,0,0
5417014,Bayview Hunters Point,0,0
5937011,Excelsior,0,0
0103018,North Beach,1,1
6497019,Excelsior,0,0
0763006,Tenderloin,0,0
5665004,Bernal Heights,0,0
0038012,North Beach,0,0
6992010,Oceanview/Merced/Ingleside,0,0
5615036,Bernal Heights,0,0
5384C005C,Bayview Hunters Point,0,0
4028001F,Potrero Hill,0,0
6092010C,Excelsior,0,0
6778030,Outer Mission,0,0
6233014,Visitacion Valley,0,0
6443009,Excelsior,0,0
5839011,Bernal Heights,0,0
0147013,Chinatown,0,0
3525057,South of Market,0,0
6511056,Mission,0,0
6331008,Visitacion Valley,0,0
6415024,Excelsior,0,0
3648061,Mission,0,0
7331071,Lakeshore,1,1
6447016,Excelsior,0,0
5932010,Portola,0,0
6753030,Outer Mission,0,0
3149035,Outer Mission,0,0
3731054,South of Market,1,1
0272022,Nob Hill,0,0
3207004,Outer Mission,0,0
5877018,Portola,0,0
6687018,Bernal Heights,0,0
7113019F,Oceanview/Merced/Ingleside,0,0
0298006,Nob Hill,1,1
4085039,Mission,0,0
0132013A,North Beach,0,0
6475034,Excelsior,0,0
7006007,Oceanview/Merced/Ingleside,0,0
5730028,Bernal Heights,0,0
6357023,Visitacion Valley,0,0
6971A056,Outer Mission,0,0
7113018,Oceanview/Merced/Ingleside,0,0
3642055,Mission,0,0
6466024,Excelsior,0,0
6447040,Excelsior,0,0
5805009,Bernal Heights,0,0
7381038,Lakeshore,0,0
4094023,Potrero Hill,0,0
7029006A,Outer Mission,0,0
3609044,Mission,1,1
5447025,Bayview Hunters Point,0,0
3520080,South of Market,1,1
5354005,Bayview Hunters Point,0,0
6239036,Visitacion Valley,0,0
3641054,Mission,0,0
6786021,Outer Mission,0,0
5073014,Bayview Hunters Point,1,1
3763032,Financial District/South Beach,0,0
6488024,Excelsior,0,0
6121011,Portola,0,0
5384D006B,Bayview Hunters Point,0,0
0242029,Chinatown,1,1
7097044H,Outer Mission,0,0
4022013,Mission,0,0
5908035,Excelsior,0,0
6344002A,Excelsior,0,0
5907017,Excelsior,0,0
4966032,Bayview Hunters Point,0,0
6481011,Excelsior,0,0
6078014,Excelsior,0,0
0177003,Chinatown,1,1
4094029,Potrero Hill,0,0
5827024,Bernal Heights,0,0
6990047,Oceanview/Merced/Ingleside,0,0
0700006,Japantown,0,0
6284004,Excelsior,0,0
6191007,Visitacion Valley,0,0
4004018,Potrero Hill,0,0
5440A010,Bayview Hunters Point,0,0
6322028,Visitacion Valley,0,0
4270024,Mission,1,1
5864001,Portola,0,0
5638011,Bernal Heights,0,0
5670012,Bernal Heights,0,0
7129043,Oceanview/Merced/Ingleside,0,0
5354024,Bayview Hunters Point,0,0
6170002A,Portola,0,0
5379035,Bayview Hunters Point,0,0
6691037,Bernal Heights,0,0
6129002,Portola,0,0
5351033,Bayview Hunters Point,0,0
6779055,Outer Mission,0,0
5464007,Bayview Hunters Point,0,0
0141013,Financial District/South Beach,1,1
6209004,Visitacion Valley,0,0
6311025,Visitacion Valley,0,0
6309090,Visitacion Valley,0,0
4972017,Bayview Hunters Point,0,0
5746016,Bernal Heights,0,0
6054034,Portola,0,0
5883028,Portola,0,0
7018026A,Oceanview/Merced/Ingleside,0,0
3548038,Mission,0,0
7141005,Outer Mission,0,0
0115035,North Beach,1,1
6797023,Outer Mission,0,0
0190044,Nob Hill,0,0
3532053,Mission,1,1
3211003S,Outer Mission,0,0
6500018,Excelsior,0,0
6748006,Outer Mission,0,0
5656017,Bernal Heights,0,0
6043010,Portola,0,0
6469003,Excelsior,0,0
5323006,Bayview Hunters Point,0,0
5653030,Bernal Heights,0,0
6571016,Mission,0,0
3618094,Mission,0,0
6595001A,Noe Valley,0,0
6156013A,Portola,0,0
7137072,Oceanview/Merced/Ingleside,0,0
3637026,Mission,0,0
5976005,Portola,0,0
7066001A,Outer Mission,0,0
4139014,Mission,0,0
4008003D,Potrero Hill,0,0
4074030,Potrero Hill,0,0
0148002,Chinatown,0,0
6015005,Excelsior,0,0
6298015,Visitacion Valley,0,0
5966002A,Excelsior,0,0
3643069,Mission,0,0
5810042,Bernal Heights,0,0
3731116,South of Market,1,1
5897008,Excelsior,0,0
0775029,Western Addition,1,1
4653027,Bayview Hunters Point,0,0
5504001E,Bernal Heights,0,0
0211006,Chinatown,0,0
3648010,Mission,1,1
7108052,Oceanview/Merced/Ingleside,0,0
6006011,Excelsior,0,0
6959032,Outer Mission,0,0
6794009,Outer Mission,0,0
5521027,Bernal Heights,0,0
4098026,Potrero Hill,0,0
4001010,Potrero Hill,0,0
6165006,Visitacion Valley,0,0
4102009,Potrero Hill,0,0
3567071,Mission,0,0
3598090,Mission,1,1
5897011,Excelsior,0,0
5810027,Bernal Heights,0,0
3768003,Financial District/South Beach,0,0
6513055,Mission,1,1
5526023,Bernal Heights,1,1
6204003D,Visitacion Valley,0,0
7085049,Oceanview/Merced/Ingleside,0,0
3732763,South of Market,0,0
3760128,South of Market,0,0
5668035,Bernal Heights,0,0
6517017,Mission,0,0
5968024,Excelsior,0,0
4035033,Potrero Hill,0,0
5273013,Bayview Hunters Point,0,0
4914017,Bayview Hunters Point,0,0
4266039,Mission,0,0
3210033,Outer Mission,0,0
5297010,Bayview Hunters Point,0,0
5656006A,Bernal Heights,0,0
5905017,Excelsior,0,0
7113008A,Oceanview/Merced/Ingleside,0,0
6520001,Mission,0,0
5857002,Portola,0,0
6197004C,Visitacion Valley,0,0
7097037,Outer Mission,0,0
6577006,Noe Valley,0,0
4762019A,Bayview Hunters Point,0,0
0332016,Tenderloin,1,1
3646029,Mission,0,0
0162012,Chinatown,1,1
7169030,Outer Mission,0,0
6298035A,Visitacion Valley,0,0
7046A007,Outer Mission,0,0
4086022,Mission,0,0
6786066,Outer Mission,0,0
4266026,Mission,0,0
4787008B,Bayview Hunters Point,0,0
5739011,Bernal Heights,0,0
4143043,Mission,0,0
4967026,Bayview Hunters Point,0,0
0056007,North Beach,0,0
5464024,Bayview Hunters Point,0,0
7136043,Oceanview/Merced/Ingleside,0,0
8949002,Treasure Island,0,0
6092013A,Excelsior,0,0
0320014,Tenderloin,1,1
4143047,Mission,0,0
6305018,Visitacion Valley,0,0
5334001,Bayview Hunters Point,0,0
6488008,Excelsior,0,0
5617044,Bernal Heights,0,0
5875014,Portola,0,0
4103002,Potrero Hill,0,0
6514002,Mission,0,0
3611055,Mission,1,1
6567044,Mission,0,0
5836014,Bernal Heights,0,0
3525087,South of Market,0,0
5673039,Bernal Heights,0,0
5407004,Bayview Hunters Point,0,0
5896037,Excelsior,0,0
7053007,Oceanview/Merced/Ingleside,0,0
6272039,Excelsior,0,0
