mapblklot,analysis_neighborhood,Height_Ft
5648031,Bernal Heights,40
5960024,Excelsior,40
5971009,Portola,40
5940027B,Excelsior,40
5407024,Bayview Hunters Point,40
6992029,Oceanview/Merced/Ingleside,40
6786014,Outer Mission,40
4162085,Potrero Hill,40
4145039,Mission,40
5322033,Bayview Hunters Point,40
0127029,Nob Hill,40
4942031,Bayview Hunters Point,40
4268003,Mission,40
5642013,Bernal Heights,40
4028004,Potrero Hill,40
4101019,Potrero Hill,40
6348015,Excelsior,40
3208A001W,Outer Mission,40
3751420,South of Market,85
3768090,Financial District/South Beach,84
5413016,Bayview Hunters Point,40
7005011,Oceanview/Merced/Ingleside,40
4107062,Potrero Hill,40
4970021,Bayview Hunters Point,40
3980057,Potrero Hill,48
6490014C,Excelsior,40
4147014,Mission,40
0148016,Chinatown,40
4720101,Bayview Hunters Point,40
3612068,Mission,40
7381161,Lakeshore,40
4106030,Potrero Hill,40
7085010,Oceanview/Merced/Ingleside,40
5956027,Excelsior,40
0063039,North Beach,40
0716012,Tenderloin,80
4008025,Potrero Hill,40
5411023,Bayview Hunters Point,40
0144034,North Beach,40
6005004,Excelsior,40
4146022,Mission,40
7094055,Oceanview/Merced/Ingleside,40
6094006A,Excelsior,40
6781014,Outer Mission,40
0146019,Chinatown,40
0275B001,Nob Hill,65
7086015,Oceanview/Merced/Ingleside,40
6115040,Portola,40
5612012,Bernal Heights,40
3615087,Mission,40
4152045,Mission,40
0688042,Japantown,50
0724045,Western Addition,50
3746008,Financial District/South Beach,400
0780034,Western Addition,50
5745026,Bernal Heights,40
4107002B,Potrero Hill,40
5879014,Portola,40
4030013,Potrero Hill,40
3729161,South of Market,45
6119027,Portola,40
5410029,Bayview Hunters Point,40
8701004,Mission Bay,110
3511180,Mission,40
3615083,Mission,55
7079005,Oceanview/Merced/Ingleside,40
5353B012B,Bayview Hunters Point,40
0260017,Financial District/South Beach,150
0209011,Chinatown,50
4791002A,Bayview Hunters Point,40
6309110,Visitacion Valley,40
3771004,Financial District/South Beach,200
4212018,Mission,55
7126A012,Oceanview/Merced/Ingleside,40
0793104,Hayes Valley,40
0336003,Tenderloin,80
6450015,Excelsior,40
4106008,Potrero Hill,40
5523053,Bernal Heights,40
0300025,Nob Hill,80
5309029,Bayview Hunters Point,40
5413012,Bayview Hunters Point,40
5613010,Bernal Heights,40
6778026,Outer Mission,40
3716021,Financial District/South Beach,200
6404028,Excelsior,40
6467024,Excelsior,40
6990014,Oceanview/Merced/Ingleside,40
6344035,Excelsior,40
4214002,Mission,40
6499013,Excelsior,40
4070007,Potrero Hill,40
5435032,Bayview Hunters Point,40
5933002C,Portola,40
6362008,Visitacion Valley,40
6634040,Noe Valley,40
3755113,South of Market,40
0101031,Chinatown,40
3753169,South of Market,45
4273016,Mission,40
3728026,South of Market,45
5920003,Portola,40
3752192,South of Market,85
6235001B,Visitacion Valley,40
5936004,Excelsior,40
0754029,Western Addition,40
6449012,Excelsior,40
3594026,Mission,50
6462012,Excelsior,40
0807063,Hayes Valley,55
0236006,Financial District/South Beach,75
7015018,Oceanview/Merced/Ingleside,40
5713046,Bernal Heights,40
6247005,Visitacion Valley,40
3778004,South of Market,270
0685052,Japantown,50
0040012,North Beach,40
0288032,Financial District/South Beach,250
3833016,Mission Bay,68
3789858,Financial District/South Beach,65
5326027,Bayview Hunters Point,40
3702045,South of Market,120
3773577,Financial District/South Beach,105
4274002,Mission,40
7114028,Oceanview/Merced/Ingleside,40
0768021,Western Addition,50
5290002,Bayview Hunters Point,40
5979026,Portola,40
5933037,Portola,40
6421006,Excelsior,40
5635027,Bernal Heights,40
0336002,Tenderloin,80
5404048,Bayview Hunters Point,40
4089043,Mission,40
7092026,Oceanview/Merced/Ingleside,40
4078031,Mission,55
3757085,South of Market,55
0281016,Nob Hill,65
6120012B,Portola,40
6309031D,Visitacion Valley,40
6519034,Mission,50
7016043,Oceanview/Merced/Ingleside,40
4084049,Mission,48
6480013,Excelsior,40
5682002,Bernal Heights,40
5978033,Portola,40
6092020,Excelsior,40
6465032,Excelsior,40
4283B078,Potrero Hill,40
0832031,Hayes Valley,50
4216002,Potrero Hill,40
3755117,South of Market,40
6197001,Visitacion Valley,40
6529012B,Mission,55
3722083,Financial District/South Beach,150
6112006,Portola,40
3755249,South of Market,40
5339006,Bayview Hunters Point,40
0265003,Financial District/South Beach,450
5642031,Bernal Heights,40
4102072,Potrero Hill,40
5657010,Bernal Heights,40
5938003,Excelsior,40
5505023,Bernal Heights,40
6172028,Portola,40
6803018,Outer Mission,40
6410024,Excelsior,65
0256T001M,Nob Hill,65
6968062,Outer Mission,40
3773291,Financial District/South Beach,45
0663012,Pacific Heights,40
4993018,Bayview Hunters Point,40
4336007,Mission,40
4041011,Potrero Hill,58
8954006,Treasure Island,35
6692049,Bernal Heights,40
5529043,Bernal Heights,40
3731099,South of Market,45
0041008,North Beach,40
3145049,Outer Mission,40
4028006,Potrero Hill,40
3977005C,Potrero Hill,40
3787052,South of Market,85
7381077,Lakeshore,40
7090011,Oceanview/Merced/Ingleside,40
5686021,Bernal Heights,40
0677072,Pacific Heights,40
6784034,Outer Mission,40
6997028,Oceanview/Merced/Ingleside,40
3574092,Mission,50
5654015,Bernal Heights,40
3617118,Mission,40
3505054,Mission,50
6794020,Outer Mission,40
0342042,Tenderloin,120
6339001E,Excelsior,40
3589162,Mission,45
0059005,Financial District/South Beach,65
3553101,Mission,58
0665018,Western Addition,130
7032A019,Outer Mission,40
5382043,Bayview Hunters Point,40
6165014,Visitacion Valley,40
6568021,Mission,40
3953006,Mission Bay,48
7006045,Oceanview/Merced/Ingleside,40
4991675,Bayview Hunters Point,40
3786263,South of Market,130
5378035,Bayview Hunters Point,40
3777107,South of Market,65
3794077,Mission Bay,105
6162017,Portola,40
6472030,Excelsior,40
5520043,Bernal Heights,40
4101065,Potrero Hill,40
7147015,Oceanview/Merced/Ingleside,40
0161041,Chinatown,65
6396016,Excelsior,40
3570097,Mission,58
3211008A,Outer Mission,40
0166009,Financial District/South Beach,84
7130030,Oceanview/Merced/Ingleside,40
3786161,South of Market,130
4224006,Potrero Hill,40
7079012,Oceanview/Merced/Ingleside,40
6248027,Visitacion Valley,40
3774150,Financial District/South Beach,105
5428E020,Bayview Hunters Point,65
6250022,Visitacion Valley,40
0270006,Financial District/South Beach,130
4069015,Potrero Hill,40
3640056,Mission,40
6022018,Excelsior,40
3788131,Financial District/South Beach,65
3779120,South of Market,55
4591B050,Bayview Hunters Point,40
3773010,Financial District/South Beach,45
4084008,Mission,40
7159008,Outer Mission,40
7064A013,Outer Mission,40
4334021,Mission,40
6297028,Visitacion Valley,40
0151001,Nob Hill,40
3995105,Potrero Hill,68
0767003,Western Addition,130
3574070,Mission,50
0749019,Western Addition,130
7029A007,Outer Mission,40
4591A013,Bayview Hunters Point,40
6362009,Visitacion Valley,40
5544022,Bernal Heights,40
7020029,Oceanview/Merced/Ingleside,40
3554043,Mission,45
7044B009,Outer Mission,40
3511128,Mission,40
3703248,South of Market,90
6967012,Outer Mission,40
6998038,Oceanview/Merced/Ingleside,40
5936013,Excelsior,40
5610025,Bernal Heights,40
4161075,Potrero Hill,40
7019033,Oceanview/Merced/Ingleside,40
3784025,South of Market,55
5895001,Excelsior,40
6021005,Excelsior,40
6596001B,Bernal Heights,40
0665009,Western Addition,130
0039058,North Beach,40
6319001C,Visitacion Valley,40
6282011,Excelsior,40
7167008,Outer Mission,40
3751523,South of Market,85
7029003A,Outer Mission,40
7318001,Lakeshore,65
5326021,Bayview Hunters Point,40
5867031,Excelsior,40
3573046,Mission,58
3768136,Financial District/South Beach,84
5841012A,Bernal Heights,40
6596013B,Bernal Heights,40
3632013,Mission,40
5701025,Bernal Heights,40
0287008,Financial District/South Beach,130
6524035,Mission,40
3567030,Mission,40
0254080,Nob Hill,65
6993019,Oceanview/Merced/Ingleside,40
4645019,Bayview Hunters Point,40
7009034,Oceanview/Merced/Ingleside,40
5898005,Excelsior,40
6017001,Excelsior,40
3949005,Mission Bay,48
5918002,Portola,40
3511111,Mission,40
5068002C,Visitacion Valley,40
4967014,Bayview Hunters Point,40
6482041,Excelsior,40
4335001F,Mission,40
3775058,Financial District/South Beach,40
7017037,Oceanview/Merced/Ingleside,40
3762139,South of Market,85
3633074,Mission,40
5988024,Portola,40
6423136,Excelsior,40
4936020,Bayview Hunters Point,40
0340017,Tenderloin,120
5404060,Bayview Hunters Point,40
3956011,Mission Bay,68
3609085,Mission,40
5720035,Bernal Heights,40
4045008,Potrero Hill,68
4263009,Mission,40
0662055,Pacific Heights,40
4991423,Bayview Hunters Point,40
6086013C,Excelsior,40
5922027,Portola,40
4274044,Mission,40
4086002,Mission,40
6018002,Excelsior,40
5946018,Excelsior,40
7094022A,Oceanview/Merced/Ingleside,40
0837095,Hayes Valley,85
3708175,Financial District/South Beach,300
6008033,Excelsior,40
4969052,Bayview Hunters Point,40
5933024,Portola,40
0839005B,Hayes Valley,50
5917020,Portola,40
3740036,Financial District/South Beach,300
5887004,Excelsior,40
4098002B,Potrero Hill,40
0779091,Western Addition,40
3776153,South of Market,85
3751175,South of Market,130
6281033,Excelsior,40
5721049,Bernal Heights,40
6112024,Portola,40
6121015,Portola,40
4104041,Potrero Hill,40
3647057,Mission,40
5948008C,Excelsior,40
6567037,Mission,40
3636037,Mission,45
4052003,Potrero Hill,40
6965B026,Outer Mission,40
6171033,Portola,40
7040B002,Outer Mission,40
5069015,Bayview Hunters Point,40
6374037,Visitacion Valley,40
3703201,South of Market,120
5720065,Bernal Heights,40
3962015,Mission,85
3794021,Mission Bay,105
3785233,Mission Bay,65
6795A008,Outer Mission,40
3948004,Mission Bay,48
3639039,Mission,48
5335A060,Bayview Hunters Point,40
0837068,Hayes Valley,50
6954040,Outer Mission,65
0693019,Tenderloin,80
7005019,Oceanview/Merced/Ingleside,40
6092021A,Excelsior,40
0700027,Japantown,50
7381185,Lakeshore,40
4069028,Potrero Hill,40
3576092,Mission,55
5864012,Portola,40
4009008L,Potrero Hill,40
3505023,Mission,40
4281A023,Potrero Hill,40
7106030,Oceanview/Merced/Ingleside,40
3633003,Mission,40
5254008,Bayview Hunters Point,40
5718028,Bernal Heights,40
6568040,Mission,65
3703101,South of Market,120
5742028A,Bernal Heights,40
3736A001,Financial District/South Beach,400
3146010,Outer Mission,40
0171018,Financial District/South Beach,275
0311016,Financial District/South Beach,285
4104057,Potrero Hill,40
3984020,Potrero Hill,40
0834032,Hayes Valley,85
0052041,North Beach,40
3787166,South of Market,65
7044B026,Outer Mission,40
0816009,Hayes Valley,50
6781018E,Outer Mission,40
6273024B,Excelsior,40
5549090,Bernal Heights,40
5940027A,Excelsior,40
6991039,Oceanview/Merced/Ingleside,40
6279001,Excelsior,40
1522039,Outer Richmond,40
0814251,Tenderloin,200
5730014,Bernal Heights,40
5946019,Excelsior,40
4075020,Potrero Hill,40
6571011,Mission,65
3752109,South of Market,45
6967020,Outer Mission,40
5676022,Bernal Heights,40
6011020,Excelsior,40
7009019,Oceanview/Merced/Ingleside,40
3642021,Mission,55
4102021,Potrero Hill,40
3749187,Financial District/South Beach,65
4098041,Potrero Hill,40
4081075,Mission,65
5908028,Excelsior,40
7129039,Oceanview/Merced/Ingleside,40
7069049,Oceanview/Merced/Ingleside,40
0774022,Western Addition,40
6485036,Excelsior,40
5649011,Bernal Heights,40
5647024,Bernal Heights,40
3545040,Mission,40
7056010,Oceanview/Merced/Ingleside,40
6489024,Excelsior,40
