mapblklot,analysis_neighborhood,Height_Ft
3533007,Mission,50
5892021D,Excelsior,40
4271045,Mission,40
5916008,Portola,40
0674014,Pacific Heights,50
6525020,Mission,40
6178018,Visitacion Valley,40
7087027,Oceanview/Merced/Ingleside,40
6203012,Visitacion Valley,40
5522037,Bernal Heights,40
6521038,Mission,40
5965002,Excelsior,40
4282A009,Potrero Hill,40
5907011,Excelsior,40
4207045,Mission,40
6799028,Outer Mission,40
7007026,Oceanview/Merced/Ingleside,40
7173038,Outer Mission,40
0157039,Nob Hill,40
6283009B,Excelsior,40
6053031,Portola,40
5525005,Bernal Heights,40
4966009,Bayview Hunters Point,40
5942020,Excelsior,40
5887040,Excelsior,40
0193021,Chinatown,85
7015007,Oceanview/Merced/Ingleside,40
5937045,Excelsior,40
7137002A,Oceanview/Merced/Ingleside,40
0301011,Nob Hill,130
5501091,Bernal Heights,40
4098002C,Potrero Hill,40
4275031,Mission,40
4731002B,Bayview Hunters Point,40
0684041,Japantown,50
7044B002,Outer Mission,40
5384B011,Bayview Hunters Point,40
5812028,Bernal Heights,40
6402019,Excelsior,40
5541004,Bernal Heights,40
7107014,Oceanview/Merced/Ingleside,40
7101A005,Outer Mission,40
5513014,Bernal Heights,40
7164053,Outer Mission,40
6277044,Excelsior,40
5402019,Bayview Hunters Point,40
7103013,Oceanview/Merced/Ingleside,40
4038032,Potrero Hill,40
3547009,Mission,55
7104001,Oceanview/Merced/Ingleside,40
7069023A,Oceanview/Merced/Ingleside,40
6273017A,Excelsior,40
0294021,Financial District/South Beach,130
6419018,Excelsior,40
6617050,Noe Valley,40
0210006,Chinatown,50
3773200A,Financial District/South Beach,45
0163008,North Beach,65
4052011,Potrero Hill,90
3549026,Mission,58
4003006,Potrero Hill,40
7046A016,Outer Mission,40
5405025,Bayview Hunters Point,40
5806018,Bernal Heights,40
3728001,South of Market,65
5859009,Portola,40
3975001H,Mission,40
6534028,Mission,40
5403044,Bayview Hunters Point,40
5884025,Portola,40
5967005B,Excelsior,40
0811203,Tenderloin,96
4152033,Mission,40
5674007,Bernal Heights,40
3732108,South of Market,45
5884035,Portola,40
6023022,Excelsior,40
6210029,Visitacion Valley,40
3525027,South of Market,55
6691019,Bernal Heights,40
5343004,Bayview Hunters Point,40
0566019,Pacific Heights,40
5522014,Bernal Heights,40
0299004,Nob Hill,80
5703018,Bernal Heights,40
7019043,Oceanview/Merced/Ingleside,40
7042A006,Outer Mission,40
3589022,Mission,45
0269019,Financial District/South Beach,50
6414037,Excelsior,40
7029015,Outer Mission,40
3574071,Mission,50
6955036,Outer Mission,40
5947047,Excelsior,40
6340005,Excelsior,40
3615007,Mission,50
5514016B,Bernal Heights,40
7125013,Oceanview/Merced/Ingleside,40
5705015,Bernal Heights,40
6395004,Excelsior,40
6720073,Bernal Heights,40
6331022,Visitacion Valley,40
0128022,Nob Hill,40
5321008A,Bayview Hunters Point,40
7066020,Outer Mission,40
5665037,Bernal Heights,40
6499028,Excelsior,40
5550027,Bernal Heights,40
6994019,Oceanview/Merced/Ingleside,40
6660006,Bernal Heights,40
6011004A,Excelsior,40
4209024,Mission,40
5383020B,Bayview Hunters Point,40
7133020,Oceanview/Merced/Ingleside,40
0654010,Pacific Heights,40
7015039,Oceanview/Merced/Ingleside,40
5324015,Bayview Hunters Point,40
6149032,Portola,40
0819002,Hayes Valley,40
4064041,Potrero Hill,40
6953044,Outer Mission,40
5673043,Bernal Heights,40
6280035,Excelsior,40
0163022,North Beach,65
6478001,Excelsior,40
4283B031,Potrero Hill,40
5870038,Excelsior,40
7043001F,Outer Mission,40
5910020,Excelsior,40
7381045,Lakeshore,40
5810021,Bernal Heights,40
3704075,South of Market,120
5977015,Portola,40
4939021,Bayview Hunters Point,40
4281A004,Potrero Hill,40
4991133,Bayview Hunters Point,40
4151013,Mission,40
5353B012,Bayview Hunters Point,40
4265003A,Mission,55
3548010,Mission,58
5319007,Bayview Hunters Point,40
6750002,Outer Mission,40
5649025,Bernal Heights,40
7045006,Outer Mission,40
5680004,Bernal Heights,40
5966019,Excelsior,40
4757045,Bayview Hunters Point,40
4757040,Bayview Hunters Point,40
6779045,Outer Mission,40
3608070,Mission,40
4967033,Bayview Hunters Point,40
0117006,Chinatown,40
6996001,Oceanview/Merced/Ingleside,40
0054017A,North Beach,40
3149004,Outer Mission,40
6532048,Mission,40
5889006,Excelsior,40
4700121,Bayview Hunters Point,40
0039013A,North Beach,40
5904004,Excelsior,40
4788018,Bayview Hunters Point,40
3721003,Financial District/South Beach,350
4081019,Mission,68
6013029,Excelsior,40
3203020,Outer Mission,40
6527051,Mission,55
6167008,Visitacion Valley,40
6720038,Bernal Heights,40
5888027,Excelsior,40
3210026,Outer Mission,40
4095044,Potrero Hill,40
6081030,Excelsior,40
3569134,Mission,45
0223047,Nob Hill,65
6954021B,Outer Mission,40
5741027,Bernal Heights,40
3548235,Mission,58
3948003,Mission Bay,48
7091004,Oceanview/Merced/Ingleside,40
6155018,Portola,40
6309060,Visitacion Valley,40
5895022,Excelsior,40
0273009,Nob Hill,65
6008031,Excelsior,40
4104035,Potrero Hill,40
5343021C,Bayview Hunters Point,40
3648047,Mission,40
7056044,Oceanview/Merced/Ingleside,40
6970021,Outer Mission,40
4207020,Mission,45
6233013,Visitacion Valley,40
6491027,Excelsior,40
6171009,Portola,40
4044018,Potrero Hill,58
6257011,Visitacion Valley,40
4761017,Bayview Hunters Point,40
3729010,South of Market,65
4624052,Bayview Hunters Point,65
7057027,Oceanview/Merced/Ingleside,40
6200036,Visitacion Valley,40
6528013A,Mission,40
6072006D,Excelsior,40
0274011,Nob Hill,65
7046B009,Outer Mission,40
3642050A,Mission,40
6781025,Outer Mission,40
3610037,Mission,40
5530016,Bernal Heights,40
4210034,Mission,40
5084014,Bayview Hunters Point,40
7018028,Oceanview/Merced/Ingleside,40
7359001,Lakeshore,65
5068008C,Visitacion Valley,40
5359012,Bayview Hunters Point,40
3150016,Outer Mission,40
5677005,Bernal Heights,40
6525035,Mission,40
7065042,Outer Mission,40
6250007A,Visitacion Valley,40
6249011,Visitacion Valley,40
6359038,Visitacion Valley,40
4094036,Potrero Hill,40
5650007,Bernal Heights,40
6957046,Outer Mission,40
3547020,Mission,45
4283BCOMG,Potrero Hill,40
4944026,Bayview Hunters Point,40
7029A002,Outer Mission,40
3555032,Mission,45
3147003,Outer Mission,40
6309034,Visitacion Valley,40
6413008,Excelsior,40
5612061,Bernal Heights,40
6786027,Outer Mission,40
4787010,Bayview Hunters Point,40
5905005,Excelsior,40
7043015,Outer Mission,40
5674027,Bernal Heights,40
5644004,Bernal Heights,40
6278040,Excelsior,40
0183040,Nob Hill,50
4336013,Mission,40
7074047,Oceanview/Merced/Ingleside,40
6237050,Visitacion Valley,40
4968019,Bayview Hunters Point,40
6436009,Excelsior,40
3632008,Mission,40
6235039,Visitacion Valley,40
3618092,Mission,40
5895031,Excelsior,40
5816008,Bernal Heights,40
6077016,Excelsior,40
5804023,Bernal Heights,40
6082047,Excelsior,40
5428F047,Bayview Hunters Point,65
0834027,Hayes Valley,120
5976018,Portola,40
4113002,Potrero Hill,90
6493001D,Excelsior,40
6781026,Outer Mission,40
0809015,Hayes Valley,50
5328022,Bayview Hunters Point,40
6020025,Excelsior,40
5428C003,Bayview Hunters Point,65
7381042,Lakeshore,40
4700043,Bayview Hunters Point,40
5992A011,Portola,40
6494031,Excelsior,40
5547044,Bernal Heights,40
6272014A,Excelsior,40
7006038,Oceanview/Merced/Ingleside,40
6090030,Excelsior,40
6089028,Excelsior,40
5909010,Excelsior,40
5838026,Bernal Heights,40
6239014,Visitacion Valley,40
7141039,Outer Mission,40
5666030,Bernal Heights,40
3146017,Outer Mission,40
4269021,Mission,45
5413002B,Bayview Hunters Point,40
6325020,Visitacion Valley,40
5503025A,Bernal Heights,40
7003029,Oceanview/Merced/Ingleside,40
3212008B,Outer Mission,40
6051017,Portola,40
7017020,Oceanview/Merced/Ingleside,40
6192009,Visitacion Valley,40
6023019,Excelsior,40
6075010,Excelsior,40
3178018,West of Twin Peaks,28
5718057,Bernal Heights,40
5629014,Bernal Heights,40
4147026,Mission,40
4153049,Mission,40
5596048,Bernal Heights,40
5840033,Bernal Heights,40
6951009E,Outer Mission,40
3578136,Mission,40
7083004,Oceanview/Merced/Ingleside,40
7065008,Outer Mission,40
3725031,South of Market,45
6357006,Visitacion Valley,40
3576166,Mission,45
5700022,Bernal Heights,40
7142001,Outer Mission,40
6124014,Portola,40
6304015,Visitacion Valley,40
4144042,Mission,40
6480014,Excelsior,40
3763007,Financial District/South Beach,85
4152014,Mission,40
3611058,Mission,45
5860006,Portola,40
7067038,Oceanview/Merced/Ingleside,40
6345018,Excelsior,40
4283B059,Potrero Hill,40
5526044,Bernal Heights,40
6450023,Excelsior,40
6178036,Visitacion Valley,40
6305044,Visitacion Valley,40
6196001,Visitacion Valley,40
1048027,Pacific Heights,40
6447035,Excelsior,40
5091025,Bayview Hunters Point,40
5717015,Bernal Heights,40
4942038,Bayview Hunters Point,40
3596074,Mission,45
0779031,Western Addition,50
5616009,Bernal Heights,40
0285004,Financial District/South Beach,130
5860034,Portola,40
6309077,Visitacion Valley,40
0243038,Chinatown,65
4266071,Mission,40
5922004,Portola,40
6450010,Excelsior,40
3575011,Mission,50
6801016,Outer Mission,40
5340024,Bayview Hunters Point,40
6175006,Visitacion Valley,40
3212026,Outer Mission,40
7092031,Oceanview/Merced/Ingleside,40
4160084,Potrero Hill,40
6116042,Portola,40
0663044,Pacific Heights,40
5461023,Bayview Hunters Point,40
7031011,Outer Mission,40
6090006,Excelsior,40
6005002B,Excelsior,40
5651007,Bernal Heights,40
6403015,Excelsior,40
7145006,Outer Mission,40
6023041,Excelsior,40
6794017,Outer Mission,40
4809022,Bayview Hunters Point,40
4808038,Bayview Hunters Point,40
7113012A,Oceanview/Merced/Ingleside,40
4096063,Potrero Hill,40
4096002,Potrero Hill,40
6443044,Excelsior,40
3617016,Mission,40
5907028,Excelsior,40
5542020,Bernal Heights,40
6281004A,Excelsior,40
5926034,Portola,40
0104005,North Beach,40
6206012,Visitacion Valley,40
6013003,Excelsior,40
5717026,Bernal Heights,40
6072018,Excelsior,40
5380019,Bayview Hunters Point,40
0272018,Nob Hill,65
6020001,Excelsior,40
6500044,Excelsior,40
6277048,Excelsior,40
5629022,Bernal Heights,40
6753058,Outer Mission,40
7116007,Oceanview/Merced/Ingleside,40
6522027,Mission,40
3212013,Outer Mission,40
5556021,Bernal Heights,40
6190084,Visitacion Valley,40
3589031,Mission,45
6322001,Visitacion Valley,40
6281014,Excelsior,40
4002016A,Potrero Hill,40
3617032,Mission,40
5863012,Portola,40
7059027,Oceanview/Merced/Ingleside,40
4269010,Mission,40
6471001,Excelsior,40
5665003,Bernal Heights,40
5802010,Bernal Heights,40
6486023,Excelsior,40
7149007,Oceanview/Merced/Ingleside,40
6175026,Visitacion Valley,40
5341028,Bayview Hunters Point,40
6078043,Excelsior,40
6616018,Noe Valley,40
3649056,Noe Valley,40
5410023,Bayview Hunters Point,40
6482028A,Excelsior,40
7094029,Oceanview/Merced/Ingleside,40
7007027,Oceanview/Merced/Ingleside,40
5891003A,Excelsior,40
5556050,Bernal Heights,40
5690017,Bernal Heights,40
0320019,Tenderloin,80
5070003,Bayview Hunters Point,40
3610048,Mission,55
6015038,Excelsior,40
5961002,Excelsior,40
5341005,Bayview Hunters Point,40
5338059,Bayview Hunters Point,40
3611011,Mission,40
7091024,Oceanview/Merced/Ingleside,40
6724007,Outer Mission,40
5955009,Excelsior,40
6351019,Excelsior,40
5354A004,Bayview Hunters Point,40
5686009,Bernal Heights,40
0243101,Chinatown,65
5609008,Bernal Heights,40
4965049,Bayview Hunters Point,40
5931024A,Portola,40
0837015,Hayes Valley,50
5327018,Bayview Hunters Point,40
7045A010,Outer Mission,40
6453038,Excelsior,40
3736190,Financial District/South Beach,360
7037016,Oceanview/Merced/Ingleside,40
5886020,Excelsior,40
4214027,Mission,40
5934013,Portola,40
0197001,Chinatown,65
6433017,Excelsior,40
6513026,Mission,40
5428B006,Bayview Hunters Point,65
3207015,Outer Mission,40
6965B040,Outer Mission,40
6350001E,Excelsior,40
6357013,Visitacion Valley,40
3975008,Mission,40
7061044,Oceanview/Merced/Ingleside,40
6800026,Outer Mission,40
4267011,Mission,40
3211028,Outer Mission,40
5556058,Bernal Heights,40
4107026,Potrero Hill,40
5515015,Bernal Heights,40
3641053,Mission,40
5517071,Bernal Heights,40
4088013,Mission,40
6004007,Excelsior,40
6280025,Excelsior,40
3525039,South of Market,40
3508040,South of Market,120
5610016,Bernal Heights,40
4263024,Mission,40
6199032,Visitacion Valley,40
6050028A,Portola,40
4937013,Bayview Hunters Point,40
4028001J,Potrero Hill,40
5963016,Excelsior,40
5713035,Bernal Heights,40
3180212,West of Twin Peaks,78
6004064,Excelsior,40
6062020,Portola,40
5955002B,Excelsior,40
6403011,Excelsior,40
3632043,Mission,40
3638016,Mission,40
5672028F,Bernal Heights,40
0104062,North Beach,40
6090028A,Excelsior,40
0159012,Chinatown,65
0659061,Pacific Heights,40
4710111,Bayview Hunters Point,40
3590004,Mission,50
6801029,Outer Mission,40
6124008,Portola,40
5575005,Bernal Heights,40
6795C031,Outer Mission,40
7090025,Oceanview/Merced/Ingleside,40
6473011C,Excelsior,40
7053017,Oceanview/Merced/Ingleside,40
0227011,Chinatown,50
3632048,Mission,40
3146019,Outer Mission,40
0206008,Chinatown,200
0131002,North Beach,40
6692001,Bernal Heights,40
6160002A,Portola,40
7115018,Oceanview/Merced/Ingleside,40
7037021,Oceanview/Merced/Ingleside,40
0665019,Western Addition,130
5070012,Bayview Hunters Point,40
5428C034,Bayview Hunters Point,65
6408009,Excelsior,40
0853034,Hayes Valley,50
7114071,Oceanview/Merced/Ingleside,40
5353B006A,Bayview Hunters Point,40
7008021,Oceanview/Merced/Ingleside,40
5963040,Excelsior,40
5745055,Bernal Heights,40
4212003E,Mission,40
6692027,Bernal Heights,40
3612113,Mission,45
0147026,Chinatown,40
0684040,Japantown,50
5530005,Bernal Heights,40
3634013,Mission,40
7130032,Oceanview/Merced/Ingleside,40
5805005,Bernal Heights,40
5515038,Bernal Heights,40
4758029,Bayview Hunters Point,40
5870026,Excelsior,40
5615049,Bernal Heights,40
0294019,Financial District/South Beach,130
7010041,Oceanview/Merced/Ingleside,40
5826024,Bernal Heights,40
3729015,South of Market,65
5505002,Bernal Heights,40
4787019,Bayview Hunters Point,40
6347005,Excelsior,40
5255010A,Bayview Hunters Point,40
4003034,Potrero Hill,40
6277043,Excelsior,40
3203006,Outer Mission,40
3612115,Mission,45
7107033,Oceanview/Merced/Ingleside,40
5517021G,Bernal Heights,40
5991019,Portola,40
0118034,Chinatown,40
6277025A,Excelsior,40
6160009A,Portola,40
4232018,Potrero Hill,240
3576087,Mission,55
7069048,Oceanview/Merced/Ingleside,40
4206006,Mission,40
0136001,Financial District/South Beach,65
6465014,Excelsior,40
4591B016,Bayview Hunters Point,40
4762009,Bayview Hunters Point,40
3553003,Mission,55
7065017E,Outer Mission,40
6445010,Excelsior,40
5699014,Bernal Heights,40
5978011,Portola,40
5996005D,Portola,40
7065034,Outer Mission,40
6971A031,Outer Mission,40
5306003,Bayview Hunters Point,40
7103070,Oceanview/Merced/Ingleside,40
5937041,Excelsior,40
6258020B,Visitacion Valley,40
0785013,Hayes Valley,50
4942005,Bayview Hunters Point,40
4720040,Bayview Hunters Point,40
0146003,Chinatown,65
3211007,Outer Mission,40
3525032,South of Market,40
6476007,Excelsior,40
4711197,Bayview Hunters Point,40
4107048,Potrero Hill,40
5382038,Bayview Hunters Point,40
3206020,Outer Mission,40
5290041,Bayview Hunters Point,40
0816020,Hayes Valley,50
7129013,Oceanview/Merced/Ingleside,40
5863014,Portola,40
3612073,Mission,45
3730048,South of Market,40
7031002,Outer Mission,40
5895010A,Excelsior,40
5335A111,Bayview Hunters Point,40
4075005,Potrero Hill,40
5956038,Excelsior,40
3633053,Mission,40
7071043,Oceanview/Merced/Ingleside,40
3575093,Mission,40
4158071,Potrero Hill,40
6360023,Visitacion Valley,40
5616054,Bernal Heights,40
5519008,Bernal Heights,40
5054A079,Bayview Hunters Point,40
5613052,Bernal Heights,40
5964031,Excelsior,40
3149006,Outer Mission,40
5329038,Bayview Hunters Point,40
3731021,South of Market,65
3211003A,Outer Mission,40
3525067,South of Market,55
5687014,Bernal Heights,40
3643004,Mission,80
3594123,Mission,50
5336042,Bayview Hunters Point,40
4591B011,Bayview Hunters Point,40
5345014,Bayview Hunters Point,40
3610006,Mission,50
5343023,Bayview Hunters Point,40
5537015,Bernal Heights,40
7077023,Oceanview/Merced/Ingleside,40
5525055,Bernal Heights,40
6022003C,Excelsior,40
6795A015,Outer Mission,40
3775016,Financial District/South Beach,45
6485014,Excelsior,40
6448052,Excelsior,40
0323026,Tenderloin,80
5803005,Bernal Heights,40
6531005,Mission,55
3639034,Mission,40
3607056A,Mission,40
7112015,Oceanview/Merced/Ingleside,40
3209007,Outer Mission,40
0327057,Financial District/South Beach,130
5557006,Bernal Heights,40
3548171,Mission,55
7087002,Oceanview/Merced/Ingleside,40
5839006,Bernal Heights,40
4756020A,Bayview Hunters Point,40
4909044,Bayview Hunters Point,40
6206001,Visitacion Valley,40
4283B084,Potrero Hill,40
6244077,Visitacion Valley,40
6149028,Portola,40
5927001,Portola,40
3509045,South of Market,45
4100059,Potrero Hill,40
5273003,Bayview Hunters Point,40
5961045,Excelsior,40
6279027,Excelsior,40
6489035,Excelsior,40
3784077,South of Market,55
4217040,Potrero Hill,40
4158042,Potrero Hill,40
6781021,Outer Mission,40
1431043,Inner Richmond,40
0816015,Hayes Valley,50
0052006,North Beach,40
6472021D,Excelsior,40
5335A143,Bayview Hunters Point,40
7061056,Oceanview/Merced/Ingleside,40
6080053,Excelsior,40
5812029,Bernal Heights,40
3588067,Mission,55
7078011,Oceanview/Merced/Ingleside,40
5070007,Bayview Hunters Point,40
6149034,Portola,40
5462013,Bayview Hunters Point,40
5900A016,Portola,40
7101B004,Outer Mission,40
6074011,Excelsior,40
3775061,Financial District/South Beach,40
4281A001,Potrero Hill,40
7028A023,Outer Mission,40
7001004,Oceanview/Merced/Ingleside,40
5616030,Bernal Heights,40
4732002,Bayview Hunters Point,40
6463002,Excelsior,40
4149014,Mission,40
4966045,Bayview Hunters Point,40
6800005A,Outer Mission,40
4337014B,Mission,40
5712031,Bernal Heights,40
0317028,Tenderloin,130
0182017,Nob Hill,65
5354041,Bayview Hunters Point,40
6087016B,Excelsior,40
4759029A,Bayview Hunters Point,40
5426019,Bayview Hunters Point,40
6277011,Excelsior,40
3722024,Financial District/South Beach,350
7141033,Outer Mission,40
6720046,Bernal Heights,40
6074015C,Excelsior,40
4968035,Bayview Hunters Point,40
0158013,Nob Hill,65
3786036,South of Market,130
3553146,Mission,55
6004066,Excelsior,40
7106007,Oceanview/Merced/Ingleside,40
4700040,Bayview Hunters Point,40
5934010,Portola,40
6720015,Bernal Heights,40
7122014,Oceanview/Merced/Ingleside,40
7057005,Oceanview/Merced/Ingleside,40
4068028,Potrero Hill,40
4158040,Potrero Hill,40
7110B028,Outer Mission,40
6305014,Visitacion Valley,40
5524076,Bernal Heights,40
7145012,Outer Mission,40
5710047,Bernal Heights,40
5610033,Bernal Heights,40
6250009B,Visitacion Valley,40
6153007A,Portola,40
4809021A,Bayview Hunters Point,40
0732028,Western Addition,130
0335019,Tenderloin,80
5704004,Bernal Heights,40
5428E015,Bayview Hunters Point,65
5513020,Bernal Heights,40
6350002B,Excelsior,40
6434003,Excelsior,40
5923018,Portola,40
4263041,Mission,40
5888014,Excelsior,40
5515033,Bernal Heights,40
5889026,Excelsior,40
6520029,Mission,40
7166023,Outer Mission,40
6477017,Excelsior,40
0254019,Nob Hill,65
7030015,Outer Mission,40
7070040,Oceanview/Merced/Ingleside,40
7010029,Oceanview/Merced/Ingleside,40
5947039,Excelsior,40
3728008,South of Market,55
7007006,Oceanview/Merced/Ingleside,40
6443038,Excelsior,40
7065045,Outer Mission,40
3784085,South of Market,85
6530003A,Mission,45
6013044,Excelsior,40
6021007,Excelsior,40
6358029,Visitacion Valley,40
6479030,Excelsior,40
7109019,Outer Mission,40
5411014,Bayview Hunters Point,40
0115084,North Beach,40
3967028,Mission,68
5611072,Bernal Heights,40
0209005,Chinatown,50
4275033,Mission,40
5543011,Bernal Heights,40
4275008B,Mission,40
5322048,Bayview Hunters Point,40
6783004,Outer Mission,40
3568011,Mission,55
3597029,Mission,45
5746005,Bernal Heights,40
5517035,Bernal Heights,40
7100045A,Outer Mission,40
4224154,Potrero Hill,40
5471001A,Bayview Hunters Point,40
0183017,Nob Hill,65
3717021,Financial District/South Beach,200
4282ACOMJ,Potrero Hill,40
6794001,Outer Mission,40
5802035,Bernal Heights,40
3569060,Mission,45
6616047,Noe Valley,40
7052031,Oceanview/Merced/Ingleside,40
5642061,Bernal Heights,40
7071017,Oceanview/Merced/Ingleside,40
4279028,Mission,40
5810007,Bernal Heights,40
0052003,North Beach,40
6534058,Mission,40
5987007,Portola,40
4710064,Bayview Hunters Point,40
5663021,Bernal Heights,40
3726040,South of Market,45
6275030,Excelsior,40
5357051,Bayview Hunters Point,40
6634001B,Noe Valley,40
5722003,Bernal Heights,40
3646002,Mission,40
7047046,Oceanview/Merced/Ingleside,40
3638031,Mission,50
5428F025,Bayview Hunters Point,65
6752065,Outer Mission,40
6120025,Portola,40
6046010,Portola,40
7044A010,Outer Mission,40
6150032,Portola,40
3569016,Mission,80
7150013,Oceanview/Merced/Ingleside,40
7104012,Oceanview/Merced/Ingleside,40
6116044,Portola,40
5721036,Bernal Heights,40
6575005,Bernal Heights,105
6202047,Visitacion Valley,40
5661020,Bernal Heights,40
5663029,Bernal Heights,40
6420038,Excelsior,40
5384A008,Bayview Hunters Point,40
5888036,Excelsior,40
5697029,Bernal Heights,40
5674002,Bernal Heights,40
0837011,Hayes Valley,50
5739024,Bernal Heights,40
7040B010,Outer Mission,40
5688033,Bernal Heights,40
5647001,Bernal Heights,40
5657039,Bernal Heights,40
0735093,Western Addition,80
6528054,Mission,40
5864018,Portola,40
7101A015,Outer Mission,40
4995004,Bayview Hunters Point,40
7088012,Oceanview/Merced/Ingleside,40
6236020,Visitacion Valley,40
6165054,Visitacion Valley,40
7078010,Oceanview/Merced/Ingleside,40
6720004,Bernal Heights,40
5706010,Bernal Heights,40
0735073,Western Addition,80
6634006,Noe Valley,40
5259009B,Bayview Hunters Point,40
5340007A,Bayview Hunters Point,40
5682008,Bernal Heights,40
4264053,Mission,40
4207032,Mission,40
5517081,Bernal Heights,40
5529006,Bernal Heights,40
3144B019,Outer Mission,40
4085045,Mission,45
6511013,Mission,40
7079001A,Oceanview/Merced/Ingleside,40
4810004A,Bayview Hunters Point,40
4004014,Potrero Hill,40
0103019,North Beach,40
6301001A,Visitacion Valley,40
3587028,Mission,40
5725006,Bernal Heights,40
4086020,Mission,40
3568095,Mission,45
6751006,Outer Mission,40
6176007,Visitacion Valley,40
3576008,Mission,65
6062014,Portola,40
7073044,Oceanview/Merced/Ingleside,40
0226001,Chinatown,50
7017032,Oceanview/Merced/Ingleside,40
5400015,Bayview Hunters Point,40
6493035,Excelsior,40
3730254,South of Market,65
5937006,Excelsior,40
7381059,Lakeshore,40
6300005,Visitacion Valley,40
6443033,Excelsior,40
7097002B,Outer Mission,40
6025004,Excelsior,40
7113019D,Oceanview/Merced/Ingleside,40
4039006,Potrero Hill,40
3590053,Mission,40
7113010A,Oceanview/Merced/Ingleside,40
7136017,Oceanview/Merced/Ingleside,40
5886040,Excelsior,40
3637084,Mission,40
0195016,Chinatown,40
4968015,Bayview Hunters Point,40
6531024,Mission,40
4808030,Bayview Hunters Point,40
5556071,Bernal Heights,40
4808031,Bayview Hunters Point,40
4144032,Mission,40
4273033,Mission,40
3150011,Outer Mission,40
5478004,Portola,40
5938006,Excelsior,40
6617064,Noe Valley,40
4096001,Potrero Hill,40
0149009,Nob Hill,40
3206018,Outer Mission,40
7130016,Oceanview/Merced/Ingleside,40
6720011A,Bernal Heights,40
7079014,Oceanview/Merced/Ingleside,40
5354016,Bayview Hunters Point,40
6252034,Visitacion Valley,40
3636014,Mission,55
4150033,Mission,40
7084042,Oceanview/Merced/Ingleside,40
3785016,Mission Bay,65
4095064,Potrero Hill,40
6052004A,Portola,40
4761027,Bayview Hunters Point,40
6080026,Excelsior,40
5952004,Excelsior,80
4037013A,Potrero Hill,40
4975013,Bayview Hunters Point,40
5382050,Bayview Hunters Point,40
5551009,Bernal Heights,40
6953045,Outer Mission,40
5709008,Bernal Heights,40
5655015,Bernal Heights,40
0104016,North Beach,40
0281019,Nob Hill,65
7100043C,Outer Mission,40
6500010,Excelsior,40
5406001,Bayview Hunters Point,40
6246057,Visitacion Valley,40
6451010,Excelsior,40
6373006,Visitacion Valley,40
7150004,Oceanview/Merced/Ingleside,40
3779171,South of Market,45
3147030,Outer Mission,40
4283B076,Potrero Hill,40
4095078,Potrero Hill,40
5936032,Excelsior,40
7092066,Oceanview/Merced/Ingleside,40
5815010,Bernal Heights,40
3956003,Mission Bay,48
6994018,Oceanview/Merced/Ingleside,40
7059031,Oceanview/Merced/Ingleside,40
7057044,Oceanview/Merced/Ingleside,40
0197002,Chinatown,65
5408039,Bayview Hunters Point,40
6326010,Visitacion Valley,40
3587067,Mission,40
4720055,Bayview Hunters Point,40
6023015,Excelsior,40
5611054,Bernal Heights,40
5957011,Excelsior,40
0132012,North Beach,40
4030041,Potrero Hill,40
7103034,Oceanview/Merced/Ingleside,40
0180019,Chinatown,65
6156019,Portola,40
6282002E,Excelsior,40
7100014A,Outer Mission,40
0317005,Tenderloin,130
6192064,Visitacion Valley,40
4711020,Bayview Hunters Point,40
3634026,Mission,40
6089032B,Excelsior,40
3776456,South of Market,55
4037029,Potrero Hill,40
7019024,Oceanview/Merced/Ingleside,40
7137022,Oceanview/Merced/Ingleside,40
3641085,Mission,40
6418029,Excelsior,40
5978004,Portola,40
4039004,Potrero Hill,40
5669016,Bernal Heights,40
5924005,Portola,40
6351016,Excelsior,40
3607012C,Mission,40
5813006,Bernal Heights,40
3727226,South of Market,40
5618019,Bernal Heights,40
7043008,Outer Mission,40
5724001,Bernal Heights,40
5615117,Bernal Heights,40
6302026,Visitacion Valley,40
5335A104,Bayview Hunters Point,40
3522079,Mission,40
5935005,Excelsior,40
5437033A,Portola,40
0235025,Financial District/South Beach,300
0338013,Tenderloin,120
0256065,Nob Hill,65
4045041,Potrero Hill,68
0156030,Nob Hill,65
6599010,Noe Valley,40
3644015A,Mission,40
7030032,Outer Mission,40
3962011,Mission,85
7126B033,Oceanview/Merced/Ingleside,40
5357047,Bayview Hunters Point,40
5898019,Excelsior,40
6955010,Outer Mission,65
0179018,Chinatown,65
7381072,Lakeshore,40
4711144,Bayview Hunters Point,160
3533126,Mission,50
5726012,Bernal Heights,40
5461041,Bayview Hunters Point,40
5536009,Bernal Heights,40
4004003A,Potrero Hill,40
3598018,Mission,40
6349018C,Excelsior,40
7016045,Oceanview/Merced/Ingleside,40
7038027,Oceanview/Merced/Ingleside,40
3995049,Potrero Hill,45
5976042,Portola,40
7109A004,Outer Mission,40
3587088,Mission,40
0329006,Financial District/South Beach,130
3598007,Mission,40
3610050,Mission,40
5501074,Bernal Heights,40
4211025,Mission,40
7109A008,Outer Mission,40
5678022,Bernal Heights,40
0779208,Western Addition,40
0328003,Financial District/South Beach,130
0652077,Pacific Heights,40
3508052,South of Market,120
3210025,Outer Mission,40
7010015,Oceanview/Merced/Ingleside,40
4211041,Mission,55
6078025,Excelsior,40
5666032,Bernal Heights,40
4274011E,Mission,40
0174004,Chinatown,65
0054076,North Beach,40
6436018,Excelsior,40
