"the_geom","name","cr","nr","a10","a11","origin","pos_1","docname","link","dateadop","description","date_updated"
"MULTIPOLYGON (((-122.45918353545882 37.73987091520358, -122.45911077064497 37.739595875332434, -122.45884946447103 37.73915822105729, -122.45898120349375 37.73918528120552, -122.45915607867015 37.73914012303136, -122.45924884161163 37.739086580479274, -122.45932781989471 37.73901136536271, -122.46001470436538 37.73928189680429, -122.46001044337243 37.73947500774326, -122.46015054389679 37.73982163376775, -122.46010371895532 37.739996891916284, -122.45989170267225 37.740115499516584, -122.45912284792801 37.74013802432885, -122.45918353545882 37.73987091520358)))","Miraloma Park Historic District Extension","Eligible","No","No","No","2023-001656ENV","1926","Miraloma Park Historic District extension","https://citypln-m-extnl.sfgov.org/external/link.ashx?Action=Download&ObjectVersion=-1&vault={A4A7DACD-B0DC-4322-BD29-F6F07103C6E0}&objectGUID={9A0234E9-D20E-4D17-AE2F-F25D2BB2BDCF}&fileGUID={FF699195-C5F7-4BCF-97AB-377CD03CAF45}",,"All properties on Block 2980 bound by Miraloma Drive, Juanita Way, and Marne Avenue, are determined to be eligible for inclusion in the Miraloma Park Historic District as a continuation of a cohesive collection of Pre-War Period Revival Style residential","2025 Dec 25 04:00:22 AM"
"MULTIPOLYGON (((-122.41610493399995 37.79871213099978, -122.41608513599999 37.79861531399983, -122.41593614000001 37.79863414499983, -122.41591835889358 37.79854461917729, -122.41586974804144 37.798299869099516, -122.4159722418076 37.798286679129895, -122.41596954720386 37.79827311486027, -122.41608912278414 37.79825772682895, -122.41606622399034 37.798142429928966, -122.41614309276254 37.7981325371533, -122.41615163423732 37.79813143790725, -122.41622918701424 37.79812145706973, -122.41631402682174 37.798110538795, -122.41632245499137 37.79810945395809, -122.41640797796111 37.79809844780982, -122.416493388078 37.798087455381356, -122.41653598120978 37.798081974102296, -122.41657879996991 37.798076463852546, -122.41676146577677 37.79805295524873, -122.41683609781275 37.798428708980886, -122.41685386299991 37.798518150999854, -122.416621758 37.79854748899988, -122.41664156700003 37.79864435399975, -122.41670809200004 37.798969659999784, -122.41671785499996 37.79901739999983, -122.41618128900004 37.79908551299982, -122.416171458 37.79903743699977, -122.41610493399995 37.79871213099978)))","Russian Hill-Paris Block Architectural Historic District","Listed","Listed","No","No",,"1880 - 1925","Russian Hill-Paris Block Architectural Historic District","https://citypln-m-extnl.sfgov.org/external/link.ashx?Action=Download&ObjectVersion=-1&vault={A4A7DACD-B0DC-4322-BD29-F6F07103C6E0}&objectGUID={46B85EEE-811C-4F2D-8941-898B8948B6E1}&fileGUID={06E0B435-8548-4CCE-9291-5F83081AA280}","1988 Jan 07 12:00:00 AM","The Russian Hill/Paris Block Architectural District is a group of eleven single or multiple dwellings facing each other on a single, flat block of Green Street atop Russian Hill in San Francisco. There are eleven residences in eleven different styles: Oc","2025 Dec 25 04:00:22 AM"
"MULTIPOLYGON (((-122.44653587756486 37.801443823998795, -122.44638399831479 37.80066890920446, -122.44649783436199 37.800656531085984, -122.44681565812063 37.80061607855378, -122.44682989942424 37.80068658279604, -122.44684414075499 37.80075708703564, -122.44685744628732 37.80082295913812, -122.44694629924585 37.80081165002174, -122.44696054071107 37.800882154245656, -122.44702410563322 37.8008740635587, -122.44703834720798 37.800944568673216, -122.44705258878611 37.80101507288429, -122.44706683039126 37.801085577092714, -122.44708107204714 37.80115608219934, -122.44709531370641 37.801226586402485, -122.44710955428094 37.80129709152255, -122.44702069965474 37.801308401680515, -122.44703494128592 37.80137890588893, -122.4469460865268 37.80139021508972, -122.44683672741563 37.80140413469693, -122.44665354895935 37.801427449527, -122.44653587756486 37.801443823998795)))","Baker Street Period Revival Bungalows Historic District","Eligible","No","No","No","2021-008228ENV","1927-1928",,"https://citypln-m-extnl.sfgov.org/external/link.ashx?Action=Download&ObjectVersion=-1&vault={A4A7DACD-B0DC-4322-BD29-F6F07103C6E0}&objectGUID={537E491B-2D5C-45DE-9C4C-1829C739DE28}&fileGUID={F2F29EEC-4CD1-4D44-8BF4-0FBDA0AA2E31}",,"The west side of Baker Street between Bay and Francisco Street (subject block) possesses a concentration of
historically and thematically unified buildings in conjunction with the subject property such that it is eligible as a
historic district under C","2025 Dec 25 04:00:22 AM"
"MULTIPOLYGON (((-122.41385198699999 37.79849524099972, -122.41383807400001 37.798426176999754, -122.41372355900002 37.79844075499976, -122.41325212399998 37.798500765999776, -122.41317523299996 37.79812427099983, -122.41315650500006 37.798032572999766, -122.41341998099998 37.797998633999725, -122.41340123100002 37.79790625299979, -122.41337701699997 37.7977869509997, -122.41346930599997 37.797775310999775, -122.41346517800005 37.797754974999854, -122.413509614 37.79774936999981, -122.41350796299994 37.797741235999744, -122.41357974300001 37.797732181999805, -122.41369533800001 37.797717600999775, -122.41368277299998 37.797655226999794, -122.413558544 37.79703851499974, -122.41361302700001 37.79700314199981, -122.41447171299997 37.7968934399998, -122.41450140199996 37.7968897069998, -122.41467022899998 37.79686890699978, -122.41484122999994 37.79684783999975, -122.41486433391685 37.79696226044273, -122.41509613107746 37.79693311666101, -122.41513856714239 37.79714327701688, -122.41525844000004 37.797128204999794, -122.41529051399992 37.797286788999806, -122.41538410499997 37.79774954199984, -122.41548161900002 37.798231677999766, -122.41536331899992 37.798246601999786, -122.41519241399995 37.79826816099965, -122.41518964099991 37.798254201999804, -122.41516400500004 37.79825743499972, -122.41515592299997 37.798216742999834, -122.41513028800004 37.798219976999775, -122.41488241100001 37.798251245999865, -122.41489066700004 37.798291916999716, -122.41478755199996 37.79830492499978, -122.41468558000001 37.79831778899983, -122.41459841699994 37.79832878299979, -122.41446169300004 37.798346030999745, -122.41440358399994 37.79835336099963, -122.41418824299998 37.79838052499977, -122.41420255200002 37.79845102099976, -122.41396499100001 37.79848098699978, -122.41385198699999 37.79849524099972)))","Russian Hill-Vallejo Street Crest Historic District","Listed","Listed","No","No",,"1888 - 1941","Russian Hill-Vallejo Street Crest Historic District","https://citypln-m-extnl.sfgov.org/external/link.ashx?Action=Download&ObjectVersion=-1&vault={A4A7DACD-B0DC-4322-BD29-F6F07103C6E0}&objectGUID={0984D4AB-E650-405F-9035-C5CAAED0315B}&fileGUID={4C46587B-D5BC-4D77-9170-22CF6355B59F}","1988 Jan 22 12:00:00 AM","The Russian Hill/Vallejo Street Crest District consists of the southeastern crest of Russian Hill in San Francisco, a rural-seeming residential enclave surrounded, defined and protected by walls and natural bluffs. It contains several buildings which pio","2025 Dec 25 04:00:22 AM"
"MULTIPOLYGON (((-122.44092179200001 37.77363529599979, -122.44256484999994 37.77342422499977, -122.44275486599994 37.77435883299981, -122.44111041699993 37.77456748299984, -122.44092179200001 37.77363529599979)))","Southern Pacific Company Hospital Historic District","Listed","Listed","No","No",,"1907 - 1938 (maybe through 1968)","Southern Pacific Company Hospital Historic District","https://citypln-m-extnl.sfgov.org/external/link.ashx?Action=Download&ObjectVersion=-1&vault={A4A7DACD-B0DC-4322-BD29-F6F07103C6E0}&objectGUID={A945AF9E-EC62-41EE-BFE4-C9EA3CE25C42}&fileGUID={5FD6B3F7-6B35-45EC-B794-1592790E39E1}","1989 May 05 12:00:00 AM","The Southern Pacific Company Hospital Historic District consists of five structures situated on a full city block bounded by Fell, Baker, Hayes, and Lyon Streets. All of the buildings in the complex are related architecturally, being of
monumental, Neo-C","2025 Dec 25 04:00:22 AM"
"MULTIPOLYGON (((-122.46059648 37.772828747999746, -122.46054265599993 37.77284738299977, -122.46043722199998 37.77286554999983, -122.46033678099998 37.772874524999814, -122.46023577800007 37.77287755099981, -122.46013477100003 37.77287461299978, -122.46003431899994 37.772865725999786, -122.45993924300004 37.77285169999978, -122.45985936199999 37.772835531999775, -122.45978086200002 37.77281555199982, -122.459774279 37.772708358999715, -122.459712417 37.77264083299984, -122.45945485099995 37.7726987659998, -122.45943571 37.7726160329998, -122.45946368600002 37.77259816199975, -122.45948741799997 37.77257676999975, -122.45950621399999 37.77255248199981, -122.45951952499989 37.77252600899978, -122.45952695999992 37.772498121999824, -122.45952830399999 37.77246963799979, -122.45952351699997 37.7724413879998, -122.45951273899995 37.772414197999794, -122.45949628399998 37.772388861999836, -122.45947463399999 37.77236612099981, -122.45944842099992 37.77234663899974, -122.45941841100003 37.77233098499979, -122.45960224899994 37.77219230699982, -122.46072258499996 37.77208603099978, -122.461120513 37.77212529499982, -122.46094301499993 37.772266628999745, -122.46082532899996 37.77241070199976, -122.46083393700003 37.77243936099984, -122.46083956599996 37.7724684829998, -122.46084125299998 37.77248317599976, -122.46084158499994 37.77252978699976, -122.46083433399995 37.772576040999795, -122.46081962099997 37.77262116599983, -122.46079769099993 37.772664403999805, -122.46076891299992 37.77270503399979, -122.46073376699997 37.77274237499978, -122.46069284200003 37.772775800999824, -122.46064682299995 37.77280475399975, -122.46059648 37.772828747999746)))","Conservatory Valley Historic District","Eligible","No","No","No","Draft Historic Resource Evaluation Report Conservatory of Floweres Support Structures","1872-1939","Conservatory Valley Historic District","https://citypln-m-extnl.sfgov.org/external/link.ashx?Action=Download&ObjectVersion=-1&vault={A4A7DACD-B0DC-4322-BD29-F6F07103C6E0}&objectGUID={9A417B9D-15D3-4A4F-89E5-DB8661AC85CC}&fileGUID={75732809-4FE2-4998-8B89-36A60D0DD659}",,"The potential Conersatory Valley Historic District is significant for its contributions to rare plant propogation and for its Frederick Law Olmstead inspried landscape design.","2025 Dec 25 04:00:22 AM"
"MULTIPOLYGON (((-122.36240492493458 37.81378964833548, -122.36240182818555 37.81378860317622, -122.36239874227203 37.81378753711818, -122.36239566835219 37.8137864510443, -122.36239260531298 37.8137853458733, -122.36238955313188 37.81378422070444, -122.36238651296689 37.813783076420485, -122.36238348366011 37.81378191213871, -122.36238046750496 37.8137807287239, -122.36237746334359 37.8137795252933, -122.36237447122093 37.81377830364853, -122.3623714910919 37.81377706198791, -122.36236852413714 37.813775802095215, -122.36236557031158 37.813774522168764, -122.36236263079594 37.81377322399232, -122.36235970329645 37.81377190670079, -122.3623567900842 37.813770570258484, -122.36235389004638 37.81376921558407, -122.3623510031829 37.81376784267756, -122.36234813174212 37.81376645060227, -122.36234527461131 37.813765040276984, -122.36234243065473 37.81376361171976, -122.36233960216633 37.81376216579517, -122.36233678910068 37.81376070070198, -122.36233399034484 37.81375921735871, -122.36233120705698 37.813757716648325, -122.3623284392146 37.813756197670045, -122.36232568684012 37.81375466132472, -122.36232295106925 37.81375310759431, -122.36232022960817 37.813751535614045, -122.36231752590886 37.81374994713149, -122.36231483765481 37.81374834038113, -122.36231216602704 37.81374671714658, -122.36230951211556 37.81374507560827, -122.36230687371739 37.81374341850445, -122.36230425192275 37.8137417440158, -122.36230164900267 37.81374005210606, -122.36229906270862 37.813738343712394, -122.36229649306347 37.81373661973534, -122.36229394229271 37.81373487833738, -122.3622914081708 37.81373312135615, -122.36228889292343 37.813731346953944, -122.36228639548281 37.81372955785145, -122.36228391691687 37.81372775132809, -122.36228145729332 37.81372593008642, -122.36227901543131 37.8137240923426, -122.36227659248917 37.81372223897971, -122.36227418848935 37.81372037089844, -122.36227180454486 37.81371848718011, -122.36226943952008 37.8137165878425, -122.36226709341508 37.813714672885816, -122.3622647674106 37.81371274409376, -122.36226246032591 37.813710799682475, -122.36226017445459 37.81370884051707, -122.36225790754817 37.8137068675342, -122.36225566183268 37.813704878896274, -122.36225343621757 37.81370287642301, -122.36225123070302 37.81370086011431, -122.36224904640186 37.81369882905145, -122.36224688220103 37.813696784153116, -122.36224473923647 37.81369472540157, -122.36224261750773 37.813692652796654, -122.36224051703766 37.81369056723923, -122.36223843780357 37.813688467828605, -122.3622363798281 37.813686355465414, -122.36206877337409 37.81351281704294, -122.3620810759725 37.81350358198376, -122.36209335997022 37.81349433009417, -122.36210562425438 37.81348506229276, -122.36211786998302 37.813475779462664, -122.3621300959982 37.81346648072086, -122.36214230457072 37.813457166031405, -122.36215449345241 37.81344783633119, -122.36216666259777 37.813438489818445, -122.3621788131878 37.81342912827687, -122.36219094408678 37.81341975172453, -122.36220305640765 37.81341035924258, -122.36221515015045 37.81340095083101, -122.36222722306682 37.81339152742655, -122.36223927854068 37.813382088074654, -122.36225131318794 37.81337263372985, -122.36226332925719 37.81336316345545, -122.36227532563545 37.813353678170394, -122.36228730343569 37.81334417695559, -122.36229926040934 37.81333466074806, -122.36231119994044 37.81332512859301, -122.36232311866769 37.81331558234595, -122.36233501765871 37.8133060192865, -122.3623468981169 37.81329644209927, -122.36235875772604 37.813286849018255, -122.36237059877975 37.81327724090869, -122.36238241900686 37.813267617806154, -122.36239422067845 37.813257979675036, -122.36240600265924 37.81324832653322, -122.36241776492629 37.81323865747975, -122.36242950750241 37.813228973415754, -122.36244122927472 37.8132192752597, -122.36245293246886 37.8132095611742, -122.36246461483653 37.81319983209593, -122.36247627864881 37.813190087989, -122.36248792049902 37.81318032890726, -122.36249954381638 37.81317055569782, -122.36251801791477 37.8131839108456, -122.36283255293787 37.81290677219724, -122.36281071996808 37.81289238149696, -122.36282170461045 37.81288223893557, -122.36283266958446 37.81287208226446, -122.36284361377726 37.81286191240254, -122.36285453714372 37.81285172754798, -122.3628654397289 37.812841529502705, -122.36287632151041 37.81283131736564, -122.36288718248805 37.81282109113684, -122.36289802268443 37.812810851717195, -122.36290884205452 37.81280059730509, -122.36291964064341 37.8127903297022, -122.36292838955731 37.812781984240914, -122.36282393599993 37.812618746999696, -122.36305239499998 37.81233282199973, -122.36338868 37.812415255999795, -122.36354149699999 37.812372783999734, -122.36406652300002 37.81236337699976, -122.36427786748348 37.81242391718544, -122.36428115411383 37.812422198679265, -122.36428464721885 37.81242034647328, -122.36428812395172 37.81241847560072, -122.36429158658325 37.812416586025854, -122.3642950317523 37.81241467960399, -122.36429846168456 37.812412754497664, -122.36430187640273 37.812410811607734, -122.36430527363581 37.812408850970094, -122.36430865565474 37.812406872548806, -122.36431202132407 37.812404876361775, -122.3643153695308 37.81240286332797, -122.36431870138794 37.8124008325284, -122.36432201576002 37.81239878398111, -122.364325313805 37.81239671856903, -122.36432859438742 37.812394636309996, -122.36433185748481 37.81239253630333, -122.36433510425519 37.81239041943175, -122.36433833131464 37.812388286650084, -122.36434154202445 37.81238613610276, -122.36434473413627 37.81238396872642, -122.36434790880821 37.81238178540418, -122.36435106485948 37.81237958435209, -122.36435589687524 37.81238124548819, -122.36436071801127 37.812382925721266, -122.3643655271775 37.81238462687105, -122.36437032546397 37.812386347117695, -122.36437511178059 37.81238808828099, -122.36437988721754 37.81238984854128, -122.364384650662 37.81239162881741, -122.36438940209126 37.812393428208466, -122.36439414152798 37.81239524761525, -122.36439886899483 37.812397087938706, -122.36440358442393 37.812398946476314, -122.3644082878605 37.81240082502964, -122.36441297816913 37.81240272361672, -122.36441765646249 37.8124046413188, -122.36442232160535 37.8124065781538, -122.36442697359757 37.812408534121595, -122.36443161359725 37.812410510105316, -122.36443623931085 37.812412505239735, -122.36444085300928 37.81241451948924, -122.3644454524216 37.81241655288959, -122.36445003868342 37.81241860542282, -122.36445461065904 37.81242067710691, -122.36445916946143 37.81242276702309, -122.36446371511323 37.81242487607215, -122.36446824536598 37.81242700519095, -122.36447276242295 37.812429151640934, -122.3644772652165 37.812431318142664, -122.36448175367865 37.812433501993574, -122.3644862267192 37.81243570501328, -122.36449068547367 37.81243792718383, -122.3644951299194 37.81244016760441, -122.36449956005644 37.81244242627504, -122.36450397474927 37.812444703213686, -122.36450837399785 37.81244699842035, -122.36451275780234 37.81244931189495, -122.36451712616247 37.81245164363755, -122.36452148021397 37.81245399363026, -122.36452581768583 37.81245636190882, -122.36453013969087 37.81245874755467, -122.36453444625162 37.81246115146831, -122.36453873736819 37.81246357365005, -122.36454301074707 37.812466013234875, -122.36454726979443 37.81246847016895, -122.36455151112675 37.812470945406844, -122.36455573699214 37.81247343801192, -122.36455994511985 37.81247594802013, -122.36456413780326 37.81247847629627, -122.36456831272622 37.812481021074724, -122.364572471047 37.8124835832382, -122.36457661276536 37.8124861627869, -122.36458073788147 37.8124887597207, -122.36457835443942 37.81248933902111, -122.3645759783533 37.812489939833824, -122.36457361071348 37.81249056033943, -122.36457125270057 37.81249120232179, -122.3645689043148 37.812491865780636, -122.3645665643752 37.81249254893228, -122.36456423401725 37.81249325175883, -122.36456191330905 37.812493976962834, -122.36455960443087 37.812494720904944, -122.36455730404424 37.812495486341604, -122.36455501662317 37.81249627049841, -122.36455273882912 37.81249707613183, -122.36455047286518 37.81249790050335, -122.36454821877656 37.812498745414835, -122.36454597540511 37.812499609983135, -122.36454435613796 37.812500252883005, -122.36455877100002 37.81250438199976, -122.364496729 37.81256400799973, -122.36444490499997 37.81259422599975, -122.36448143699998 37.812723542999834, -122.36455891299995 37.812754885999745, -122.36465424900001 37.8128409339999, -122.36466252700001 37.81284840499981, -122.36471663600004 37.81295421599976, -122.36472310099995 37.813078174999745, -122.36472209199998 37.813080719999874, -122.36470606499998 37.81312117499976, -122.36466502299999 37.81322476899981, -122.36452514699997 37.81343184299976, -122.36439280100004 37.81357769899982, -122.36429733999996 37.81363254699983, -122.36419686199999 37.813690278999815, -122.36393497000003 37.81376104499975, -122.36358189100001 37.81378783999977, -122.36349615 37.81379661199979, -122.36345437660351 37.81377277278263, -122.36312037036683 37.81380589363787, -122.36311360385436 37.81380672688831, -122.36310683227973 37.81380753949069, -122.3631000567332 37.81380832962542, -122.36309327725988 37.81380909909422, -122.36308649499533 37.813809847879156, -122.36307970764608 37.813810575115085, -122.36307291746039 37.81381127986561, -122.36306612337054 37.81381196485091, -122.36305932644437 37.81381262735059, -122.36305252672703 37.81381326916643, -122.36304572306045 37.8138138894154, -122.36303891658008 37.81381448807972, -122.36303210730856 37.81381506605998, -122.36302529408785 37.81381562247353, -122.36301847918882 37.81381615728436, -122.36301166147618 37.813816670510434, -122.36300484208518 37.81381716213394, -122.36299801876768 37.81381763309133, -122.362991193772 37.8138180824461, -122.36298436709798 37.813818510198146, -122.36297753874588 37.81381891634752, -122.3629707075801 37.813819300912144, -122.36296387475878 37.81381966477492, -122.36295703910113 37.813820006152206, -122.36295020292341 37.81382032680956, -122.36294336506761 37.81382062586426, -122.36293652666912 37.813820903298364, -122.36292968547963 37.81382116004868, -122.36292284372485 37.813821394277234, -122.36291600031467 37.813821607804044, -122.36290915633917 37.81382179880945, -122.36290231184377 37.813821969095045, -122.36289546567019 37.81382211777806, -122.36288862011216 37.813822245723244, -122.36288177285348 37.81382235116491, -122.36287492507478 37.8138224358867, -122.36286807786648 37.81382249806924, -122.36286122900262 37.81382253954988, -122.36285438073179 37.81382255939193, -122.3628475330539 37.81382255759543, -122.3628406848335 37.81382253417845, -122.36283383607064 37.813822489140655, -122.36282698905866 37.81382242334727, -122.36282014150446 37.813822335933324, -122.36281329452044 37.81382222597981, -122.36280644815209 37.813822095288664, -122.36279960237688 37.813821942958945, -122.36279275835265 37.813821769873634, -122.36255202196787 37.81381528352063, -122.36254865920952 37.813815181615944, -122.362545297067 37.81381505897386, -122.36254193663036 37.8138149137747, -122.36253857794499 37.813814747820246, -122.36253522098812 37.81381456020963, -122.36253186575993 37.8138143509428, -122.36252851337328 37.81381411910097, -122.36252516276046 37.81381386740466, -122.36252181498911 37.81381359313344, -122.3625184700819 37.81381329718807, -122.36251512806155 37.813812980469365, -122.36251179004078 37.81381264205866, -122.36250845601965 37.81381228195599, -122.36250512488535 37.81381190107995, -122.36250179888614 37.813811498493955, -122.36249847575111 37.813811074233826, -122.36249515775141 37.81381062826372, -122.36249184377388 37.813810161502495, -122.3624885349542 37.81380967393192, -122.36248523126969 37.8138091646516, -122.36248193385595 37.81380863364329, -122.36247864048707 37.81380808274461, -122.3624753533664 37.813807509217206, -122.3624720725616 37.81380691576356, -122.36246879802754 37.81380630058209, -122.36246552978682 37.813805664573444, -122.36246226783953 37.8138050077378, -122.36245901216297 37.813804329174225, -122.3624557639379 37.81380363066653, -122.36245252427712 37.81380291129589, -122.36244928975175 37.813802170215325, -122.36244606494876 37.813801409154706, -122.3624428464392 37.813800627267135, -122.36243963762954 37.81379982449862, -122.36243643627135 37.81379900178596, -122.36243324234216 37.81379815822835, -122.36243005924838 37.813797293771955, -122.362426883606 37.81379640937139, -122.36242371764111 37.81379550318921, -122.36242056142123 37.8137945779278, -122.36241741378852 37.81379363270439, -122.36241427699117 37.81379266658217, -122.36241114878084 37.81379168049788, -122.36240803145128 37.81379067531649, -122.36240492493458 37.81378964833548)))","Senior Officers' Quarters Historic District, Yerba Buena Island","Listed","Listed","No","No",,"1900 - 1947","Senior Officers' Quarters Historic District, Yerba Buena Island","https://citypln-m-extnl.sfgov.org/external/link.ashx?Action=Download&ObjectVersion=-1&vault={A4A7DACD-B0DC-4322-BD29-F6F07103C6E0}&objectGUID={5AAE9A6A-65FD-47D8-9948-5371CAC11221}&fileGUID={C8C4C55E-FF80-419B-A8B1-F713EAAC0403}","2008 Feb 26 12:00:00 AM","The Senior Officers’ Quarters Historic District consists of seven residences, two apartments over garages, one five-car garage, and the surrounding landscape located on Yerba Buena Island, north of Interstate 80 and the San Francisco-Oakland Bay Bridge","2025 Dec 25 04:00:22 AM"
