BlockLot,Height_Ft,Area_1000,Env_1000_Area_Height,Bldg_SqFt_1000,Res_Dummy,Historic,SDB_2016_5Plus,zp_OfficeComm,zp_DRMulti_RTO,zp_FBDMulti_RTO,zp_PDRInd,zp_Public,zp_Redev,zp_RH2,zp_RH3_RM1,DIST_SBayshore,DIST_BernalHts,DIST_Scentral,DIST_Central,DIST_BuenaVista,DIST_Northeast,DIST_WestAddition,DIST_SOMA,DIST_InnerSunset,DIST_Richmond,DIST_Ingleside,DIST_OuterSunset,DIST_Marina,DIST_Mission,SDB_2016_5Plus_EnvFull,Zoning_DR_EnvFull,fzp_expected_units_low,fzp_expected_units_high
3580005,40,6.1,24.3,15.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.3,0.0,0.18213658575893357,0.3783819779362778
0539001A,65,1.1,7.2,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.03061364592039031,0.0635497911428238
2464A045,40,2.5,10.0,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.004619492769126543,0.009639265786209229
1408022,40,2.9,11.8,4.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.004501221870480989,0.00939350776870954
1007007,50,3.1,15.5,7.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.00598564171423749,0.012491232829401027
2106001D,40,3.0,11.9,2.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.005503903231080976,0.01148471227072086
2968A002,40,3.8,15.4,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.015128393782209816,0.03154524443298861
6255021,40,2.7248867174014433,10.899546869605773,1.125,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.899546869605771,0,0.0002985122315984804,0.0006232719823196595
6934008,40,2.5,10.1,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.009848510913991984,0.020536004690778292
1584014,65,2.7,17.5,1.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.007004879406126531,0.014617963920134383
1065019,40,3.0,11.9,3.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0045500428297871815,0.009495379602745973
6204077,40,1.6279215762121468,6.5116863048485865,1.479,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4.641688337570683e-05,9.691594080330548e-05
1870024A,40,1.9,7.5,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0034535222986380315,0.007206307756168473
1739041,40,3.0,12.0,2.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.014988185931087684,0.03124150719711517
1718043,40,2.3,9.0,2.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0041459667078712825,0.008651197697780727
1782020,40,3.0,12.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0055579257252175536,0.01159742798331342
5616067,40,1.7749700873178225,7.09988034927129,0.791,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.827613128549827e-05,0.0001425563835934961
5393008,40,2.5000258796616226,10.00010351864649,1.55,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.00010351864649,0,0.00035027595361830974,0.0007313471425701978
3190004,40,3.4,13.7,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.013424410836068384,0.027992248291473752
6309032,40,3.3105759573145996,13.242303829258399,0.768,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.2423038292584,0,0.00047582995987171275,0.000993492891161334
1822018,40,3.0,12.1,2.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.005594057152406631,0.011672834922152632
6090011,40,2.5000015329461887,10.000006131784755,0.95,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.000006131784756,0,0.0002736352642806926,0.0005713306803089136
2620079,40,2.5,10.0,2.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.004976967132271491,0.010384683002304801
5343021E,40,2.5000097288405905,10.000038915362362,1.225,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.000038915362362,0,0.0004579938140076443,0.0009562461825496728
2614121,40,4.9,19.6,2.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.009889135155087742,0.020633966550464407
