stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
5709,15709,Masonic Ave & Geary Blvd  , ,37.782161,-122.447355, ,https://SFMTA.com/15709
5710,15710,Masonic Ave & Geary Blvd  , ,37.782144,-122.447573, ,https://SFMTA.com/15710
5711,15711,Masonic Ave & Haight St  , ,37.770152,-122.445384, ,https://SFMTA.com/15711
5712,15712,Masonic Ave & Haight St  , ,37.77031,-122.44542, ,https://SFMTA.com/15712
5713,15713,Masonic Ave & Haight St  , ,37.770348,-122.445304, ,https://SFMTA.com/15713
5714,15714,Masonic Ave & Hayes St  , ,37.77406,-122.446049, ,https://SFMTA.com/15714
5715,15715,Masonic Ave & Hayes St  , ,37.77402,-122.44624, ,https://SFMTA.com/15715
5716,15716,Masonic Ave & Oak St  , ,37.771963,-122.445625, ,https://SFMTA.com/15716
5717,15717,Masonic Ave & Oak St  , ,37.77173,-122.44573, ,https://SFMTA.com/15717
5718,15718,Masonic Ave & Turk St  , ,37.778771,-122.447, ,https://SFMTA.com/15718
5719,15719,Masonic Ave & Turk St  , ,37.77876,-122.44716, ,https://SFMTA.com/15719
5726,15726,Metro Church Station/Downtown, ,37.767194,-122.429168, ,https://SFMTA.com/15726
5727,15727,Metro Civic Center Station/Downtn, ,37.779712,-122.413347, ,https://SFMTA.com/15727
5728,15728,Metro Castro Station/Downtown, ,37.76262,-122.435231, ,https://SFMTA.com/15728
5730,15730,Metro Forest Hill Station/Downtown, ,37.748351,-122.458623, ,https://SFMTA.com/15730
5731,15731,Metro Montgomery Station/Downtown, ,37.789219,-122.401351, ,https://SFMTA.com/15731
5732,15732,Noe St & 27th St  , ,37.74668,-122.43148, ,https://SFMTA.com/15732
5733,15733,Noe St & 27th St  , ,37.74654,-122.43132, ,https://SFMTA.com/15733
5734,15734,Noe St & 28th St  , ,37.74519,-122.43134, ,https://SFMTA.com/15734
5735,15735,Noe St & 28th St  , ,37.74493,-122.43117, ,https://SFMTA.com/15735
5736,15736,Noe St & 29th St  , ,37.743311,-122.431179, ,https://SFMTA.com/15736
5737,15737,Noe St & 29th St  , ,37.7433,-122.43104, ,https://SFMTA.com/15737
5738,15738,Noe St & 30th St  , ,37.74201,-122.43101, ,https://SFMTA.com/15738
5739,15739,Noriega St & 16th Ave  , ,37.75526,-122.47312, ,https://SFMTA.com/15739
5741,15741,Noriega St & 24th Ave  , ,37.754042,-122.482773, ,https://SFMTA.com/15741
5742,15742,Noriega St & 25th Ave  , ,37.753881,-122.483014, ,https://SFMTA.com/15742
5744,15744,Noriega St & 27th Ave  , ,37.753782,-122.485168, ,https://SFMTA.com/15744
5745,15745,Noriega St & 28th Ave  , ,37.753898,-122.485993, ,https://SFMTA.com/15745
5746,15746,Noriega St & 29th Ave  , ,37.753692,-122.48731, ,https://SFMTA.com/15746
5747,15747,Noriega St & 30th Ave  , ,37.753754,-122.489201, ,https://SFMTA.com/15747
5748,15748,Noriega St & 31st Ave  , ,37.753593,-122.489453, ,https://SFMTA.com/15748
